# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# one byte too long
26 26 26 26 26 26 26 26 26 26 26 26 26 26 01 CE, INVALID, INVALID, 0, code=Add_rm32_r32
26 65 01 18, Add_rm32_r32, Add, 2, op0=m;gs;eax;;1;0;0;UInt32 op1=r;ebx gs: enc=650118

2E 26 01 18, Add_rm32_r32, Add, 2, op0=m;es;eax;;1;0;0;UInt32 op1=r;ebx es: enc=260118
2E 2E 01 18, Add_rm32_r32, Add, 2, op0=m;cs;eax;;1;0;0;UInt32 op1=r;ebx cs: enc=2E0118
2E 36 01 18, Add_rm32_r32, Add, 2, op0=m;ss;eax;;1;0;0;UInt32 op1=r;ebx ss: enc=360118
2E 3E 01 18, Add_rm32_r32, Add, 2, op0=m;ds;eax;;1;0;0;UInt32 op1=r;ebx ds: enc=3E0118
2E 64 01 18, Add_rm32_r32, Add, 2, op0=m;fs;eax;;1;0;0;UInt32 op1=r;ebx fs: enc=640118
2E 65 01 18, Add_rm32_r32, Add, 2, op0=m;gs;eax;;1;0;0;UInt32 op1=r;ebx gs: enc=650118

36 26 01 18, Add_rm32_r32, Add, 2, op0=m;es;eax;;1;0;0;UInt32 op1=r;ebx es: enc=260118
36 2E 01 18, Add_rm32_r32, Add, 2, op0=m;cs;eax;;1;0;0;UInt32 op1=r;ebx cs: enc=2E0118
36 36 01 18, Add_rm32_r32, Add, 2, op0=m;ss;eax;;1;0;0;UInt32 op1=r;ebx ss: enc=360118
36 3E 01 18, Add_rm32_r32, Add, 2, op0=m;ds;eax;;1;0;0;UInt32 op1=r;ebx ds: enc=3E0118
36 64 01 18, Add_rm32_r32, Add, 2, op0=m;fs;eax;;1;0;0;UInt32 op1=r;ebx fs: enc=640118
36 65 01 18, Add_rm32_r32, Add, 2, op0=m;gs;eax;;1;0;0;UInt32 op1=r;ebx gs: enc=650118

3E 26 01 18, Add_rm32_r32, Add, 2, op0=m;es;eax;;1;0;0;UInt32 op1=r;ebx es: enc=260118
3E 2E 01 18, Add_rm32_r32, Add, 2, op0=m;cs;eax;;1;0;0;UInt32 op1=r;ebx cs: enc=2E0118
3E 36 01 18, Add_rm32_r32, Add, 2, op0=m;ss;eax;;1;0;0;UInt32 op1=r;ebx ss: enc=360118
3E 3E 01 18, Add_rm32_r32, Add, 2, op0=m;ds;eax;;1;0;0;UInt32 op1=r;ebx ds: enc=3E0118
3E 64 01 18, Add_rm32_r32, Add, 2, op0=m;fs;eax;;1;0;0;UInt32 op1=r;ebx fs: enc=640118
3E 65 01 18, Add_rm32_r32, Add, 2, op0=m;gs;eax;;1;0;0;UInt32 op1=r;ebx gs: enc=650118

64 26 01 18, Add_rm32_r32, Add, 2, op0=m;es;eax;;1;0;0;UInt32 op1=r;ebx es: enc=260118
64 2E 01 18, Add_rm32_r32, Add, 2, op0=m;cs;eax;;1;0;0;UInt32 op1=r;ebx cs: enc=2E0118
64 36 01 18, Add_rm32_r32, Add, 2, op0=m;ss;eax;;1;0;0;UInt32 op1=r;ebx ss: enc=360118
64 3E 01 18, Add_rm32_r32, Add, 2, op0=m;ds;eax;;1;0;0;UInt32 op1=r;ebx ds: enc=3E0118
64 64 01 18, Add_rm32_r32, Add, 2, op0=m;fs;eax;;1;0;0;UInt32 op1=r;ebx fs: enc=640118
64 65 01 18, Add_rm32_r32, Add, 2, op0=m;gs;eax;;1;0;0;UInt32 op1=r;ebx gs: enc=650118

65 26 01 18, Add_rm32_r32, Add, 2, op0=m;es;eax;;1;0;0;UInt32 op1=r;ebx es: enc=260118
65 2E 01 18, Add_rm32_r32, Add, 2, op0=m;cs;eax;;1;0;0;UInt32 op1=r;ebx cs: enc=2E0118
65 36 01 18, Add_rm32_r32, Add, 2, op0=m;ss;eax;;1;0;0;UInt32 op1=r;ebx ss: enc=360118
65 3E 01 18, Add_rm32_r32, Add, 2, op0=m;ds;eax;;1;0;0;UInt32 op1=r;ebx ds: enc=3E0118
65 64 01 18, Add_rm32_r32, Add, 2, op0=m;fs;eax;;1;0;0;UInt32 op1=r;ebx fs: enc=640118
65 65 01 18, Add_rm32_r32, Add, 2, op0=m;gs;eax;;1;0;0;UInt32 op1=r;ebx gs: enc=650118
