# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# popcnt
66 0FB8 CE, INVALID, INVALID, 0, code=INVALID
F0 66 F2 01 18, Add_rm32_r32, Add, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xacquire repne
F0 66 67 F3 F2 01 18, Add_rm32_r32, Add, 2, op0=m;ds;eax;;1;0;0;UInt32 op1=r;ebx lock xacquire repne enc=F06667F20118

02 CE, Add_r8_rm8, Add, 2, op0=r;cl op1=r;dh
F0 02 CE, Add_r8_rm8, Add, 2, op0=r;cl op1=r;dh decopt=NoInvalidCheck lock
F0 02 CE, INVALID, INVALID, 0, code=Add_r8_rm8
02 38, Add_r8_rm8, Add, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8
F0 02 38, Add_r8_rm8, Add, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8 decopt=NoInvalidCheck lock
F0 02 38, INVALID, INVALID, 0, code=Add_r8_rm8

03 CE, Add_r16_rm16, Add, 2, op0=r;cx op1=r;si
03 18, Add_r16_rm16, Add, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 03 CE, Add_r32_rm32, Add, 2, op0=r;ecx op1=r;esi
66 03 18, Add_r32_rm32, Add, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

04 5A, Add_AL_imm8, Add, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

05 5AA5, Add_AX_imm16, Add, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 05 5AA51234, Add_EAX_imm32, Add, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

06, Pushw_ES, Push, 1, op0=r;es

66 06, Pushd_ES, Push, 1, op0=r;es

07, Popw_ES, Pop, 1, op0=r;es

66 07, Popd_ES, Pop, 1, op0=r;es

08 CE, Or_rm8_r8, Or, 2, op0=r;dh op1=r;cl
F0 08 CE, INVALID, INVALID, 0, code=Or_rm8_r8
08 38, Or_rm8_r8, Or, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh
F0 08 38, Or_rm8_r8, Or, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock
F0 F3 08 38, Or_rm8_r8, Or, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xrelease repe
F0 F2 08 38, Or_rm8_r8, Or, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xacquire repne

09 CE, Or_rm16_r16, Or, 2, op0=r;si op1=r;cx
F0 09 CE, INVALID, INVALID, 0, code=Or_rm16_r16
09 18, Or_rm16_r16, Or, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
F0 09 18, Or_rm16_r16, Or, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock
F0 F3 09 18, Or_rm16_r16, Or, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xrelease repe
F0 F2 09 18, Or_rm16_r16, Or, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xacquire repne

66 09 CE, Or_rm32_r32, Or, 2, op0=r;esi op1=r;ecx
F0 66 09 CE, INVALID, INVALID, 0, code=Or_rm32_r32
66 09 18, Or_rm32_r32, Or, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx
F0 66 09 18, Or_rm32_r32, Or, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock
F0 66 F3 09 18, Or_rm32_r32, Or, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xrelease repe
F0 66 F2 09 18, Or_rm32_r32, Or, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xacquire repne

0A CE, Or_r8_rm8, Or, 2, op0=r;cl op1=r;dh
0A 38, Or_r8_rm8, Or, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8

0B CE, Or_r16_rm16, Or, 2, op0=r;cx op1=r;si
0B 18, Or_r16_rm16, Or, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 0B CE, Or_r32_rm32, Or, 2, op0=r;ecx op1=r;esi
66 0B 18, Or_r32_rm32, Or, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

0C 5A, Or_AL_imm8, Or, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

0D 5AA5, Or_AX_imm16, Or, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 0D 5AA51234, Or_EAX_imm32, Or, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

0E, Pushw_CS, Push, 1, op0=r;cs

66 0E, Pushd_CS, Push, 1, op0=r;cs

10 CE, Adc_rm8_r8, Adc, 2, op0=r;dh op1=r;cl
F0 10 CE, INVALID, INVALID, 0, code=Adc_rm8_r8
10 38, Adc_rm8_r8, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh
F0 10 38, Adc_rm8_r8, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock
F0 F3 10 38, Adc_rm8_r8, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xrelease repe
F0 F2 10 38, Adc_rm8_r8, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xacquire repne

11 CE, Adc_rm16_r16, Adc, 2, op0=r;si op1=r;cx
F0 11 CE, INVALID, INVALID, 0, code=Adc_rm16_r16
11 18, Adc_rm16_r16, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
F0 11 18, Adc_rm16_r16, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock
F0 F3 11 18, Adc_rm16_r16, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xrelease repe
F0 F2 11 18, Adc_rm16_r16, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xacquire repne

66 11 CE, Adc_rm32_r32, Adc, 2, op0=r;esi op1=r;ecx
F0 66 11 CE, INVALID, INVALID, 0, code=Adc_rm32_r32
66 11 18, Adc_rm32_r32, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx
F0 66 11 18, Adc_rm32_r32, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock
F0 66 F3 11 18, Adc_rm32_r32, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xrelease repe
F0 66 F2 11 18, Adc_rm32_r32, Adc, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xacquire repne

12 CE, Adc_r8_rm8, Adc, 2, op0=r;cl op1=r;dh
12 38, Adc_r8_rm8, Adc, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8

13 CE, Adc_r16_rm16, Adc, 2, op0=r;cx op1=r;si
13 18, Adc_r16_rm16, Adc, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 13 CE, Adc_r32_rm32, Adc, 2, op0=r;ecx op1=r;esi
66 13 18, Adc_r32_rm32, Adc, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

14 5A, Adc_AL_imm8, Adc, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

15 5AA5, Adc_AX_imm16, Adc, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 15 5AA51234, Adc_EAX_imm32, Adc, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

16, Pushw_SS, Push, 1, op0=r;ss

66 16, Pushd_SS, Push, 1, op0=r;ss

17, Popw_SS, Pop, 1, op0=r;ss

66 17, Popd_SS, Pop, 1, op0=r;ss

18 CE, Sbb_rm8_r8, Sbb, 2, op0=r;dh op1=r;cl
F0 18 CE, INVALID, INVALID, 0, code=Sbb_rm8_r8
18 38, Sbb_rm8_r8, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh
F0 18 38, Sbb_rm8_r8, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock
F0 F3 18 38, Sbb_rm8_r8, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xrelease repe
F0 F2 18 38, Sbb_rm8_r8, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xacquire repne

19 CE, Sbb_rm16_r16, Sbb, 2, op0=r;si op1=r;cx
F0 19 CE, INVALID, INVALID, 0, code=Sbb_rm16_r16
19 18, Sbb_rm16_r16, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
F0 19 18, Sbb_rm16_r16, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock
F0 F3 19 18, Sbb_rm16_r16, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xrelease repe
F0 F2 19 18, Sbb_rm16_r16, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xacquire repne

66 19 CE, Sbb_rm32_r32, Sbb, 2, op0=r;esi op1=r;ecx
F0 66 19 CE, INVALID, INVALID, 0, code=Sbb_rm32_r32
66 19 18, Sbb_rm32_r32, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx
F0 66 19 18, Sbb_rm32_r32, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock
F0 66 F3 19 18, Sbb_rm32_r32, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xrelease repe
F0 66 F2 19 18, Sbb_rm32_r32, Sbb, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xacquire repne

1A CE, Sbb_r8_rm8, Sbb, 2, op0=r;cl op1=r;dh
1A 38, Sbb_r8_rm8, Sbb, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8

1B CE, Sbb_r16_rm16, Sbb, 2, op0=r;cx op1=r;si
1B 18, Sbb_r16_rm16, Sbb, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 1B CE, Sbb_r32_rm32, Sbb, 2, op0=r;ecx op1=r;esi
66 1B 18, Sbb_r32_rm32, Sbb, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

1C 5A, Sbb_AL_imm8, Sbb, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

1D 5AA5, Sbb_AX_imm16, Sbb, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 1D 5AA51234, Sbb_EAX_imm32, Sbb, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

1E, Pushw_DS, Push, 1, op0=r;ds

66 1E, Pushd_DS, Push, 1, op0=r;ds

1F, Popw_DS, Pop, 1, op0=r;ds

66 1F, Popd_DS, Pop, 1, op0=r;ds

20 CE, And_rm8_r8, And, 2, op0=r;dh op1=r;cl
F0 20 CE, INVALID, INVALID, 0, code=And_rm8_r8
20 38, And_rm8_r8, And, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh
F0 20 38, And_rm8_r8, And, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock
F0 F3 20 38, And_rm8_r8, And, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xrelease repe
F0 F2 20 38, And_rm8_r8, And, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xacquire repne

21 CE, And_rm16_r16, And, 2, op0=r;si op1=r;cx
F0 21 CE, INVALID, INVALID, 0, code=And_rm16_r16
21 18, And_rm16_r16, And, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
F0 21 18, And_rm16_r16, And, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock
F0 F3 21 18, And_rm16_r16, And, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xrelease repe
F0 F2 21 18, And_rm16_r16, And, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xacquire repne

66 21 CE, And_rm32_r32, And, 2, op0=r;esi op1=r;ecx
F0 66 21 CE, INVALID, INVALID, 0, code=And_rm32_r32
66 21 18, And_rm32_r32, And, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx
F0 66 21 18, And_rm32_r32, And, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock
F0 66 F3 21 18, And_rm32_r32, And, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xrelease repe
F0 66 F2 21 18, And_rm32_r32, And, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xacquire repne

22 CE, And_r8_rm8, And, 2, op0=r;cl op1=r;dh
22 38, And_r8_rm8, And, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8

23 CE, And_r16_rm16, And, 2, op0=r;cx op1=r;si
23 18, And_r16_rm16, And, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 23 CE, And_r32_rm32, And, 2, op0=r;ecx op1=r;esi
66 23 18, And_r32_rm32, And, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

24 5A, And_AL_imm8, And, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

25 5AA5, And_AX_imm16, And, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 25 5AA51234, And_EAX_imm32, And, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

27, Daa, Daa, 0,

28 CE, Sub_rm8_r8, Sub, 2, op0=r;dh op1=r;cl
F0 28 CE, INVALID, INVALID, 0, code=Sub_rm8_r8
28 38, Sub_rm8_r8, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh
F0 28 38, Sub_rm8_r8, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock
F0 F3 28 38, Sub_rm8_r8, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xrelease repe
F0 F2 28 38, Sub_rm8_r8, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xacquire repne

29 CE, Sub_rm16_r16, Sub, 2, op0=r;si op1=r;cx
F0 29 CE, INVALID, INVALID, 0, code=Sub_rm16_r16
29 18, Sub_rm16_r16, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
F0 29 18, Sub_rm16_r16, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock
F0 F3 29 18, Sub_rm16_r16, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xrelease repe
F0 F2 29 18, Sub_rm16_r16, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xacquire repne

66 29 CE, Sub_rm32_r32, Sub, 2, op0=r;esi op1=r;ecx
F0 66 29 CE, INVALID, INVALID, 0, code=Sub_rm32_r32
66 29 18, Sub_rm32_r32, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx
F0 66 29 18, Sub_rm32_r32, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock
F0 66 F3 29 18, Sub_rm32_r32, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xrelease repe
F0 66 F2 29 18, Sub_rm32_r32, Sub, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xacquire repne

2A CE, Sub_r8_rm8, Sub, 2, op0=r;cl op1=r;dh
2A 38, Sub_r8_rm8, Sub, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8

2B CE, Sub_r16_rm16, Sub, 2, op0=r;cx op1=r;si
2B 18, Sub_r16_rm16, Sub, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 2B CE, Sub_r32_rm32, Sub, 2, op0=r;ecx op1=r;esi
66 2B 18, Sub_r32_rm32, Sub, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

2C 5A, Sub_AL_imm8, Sub, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

2D 5AA5, Sub_AX_imm16, Sub, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 2D 5AA51234, Sub_EAX_imm32, Sub, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

2F, Das, Das, 0,

30 CE, Xor_rm8_r8, Xor, 2, op0=r;dh op1=r;cl
F0 30 CE, INVALID, INVALID, 0, code=Xor_rm8_r8
30 38, Xor_rm8_r8, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh
F0 30 38, Xor_rm8_r8, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock
F0 F3 30 38, Xor_rm8_r8, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xrelease repe
F0 F2 30 38, Xor_rm8_r8, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh lock xacquire repne

31 CE, Xor_rm16_r16, Xor, 2, op0=r;si op1=r;cx
F0 31 CE, INVALID, INVALID, 0, code=Xor_rm16_r16
31 18, Xor_rm16_r16, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
F0 31 18, Xor_rm16_r16, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock
F0 F3 31 18, Xor_rm16_r16, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xrelease repe
F0 F2 31 18, Xor_rm16_r16, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx lock xacquire repne

66 31 CE, Xor_rm32_r32, Xor, 2, op0=r;esi op1=r;ecx
F0 66 31 CE, INVALID, INVALID, 0, code=Xor_rm32_r32
66 31 18, Xor_rm32_r32, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx
F0 66 31 18, Xor_rm32_r32, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock
F0 66 F3 31 18, Xor_rm32_r32, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xrelease repe
F0 66 F2 31 18, Xor_rm32_r32, Xor, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx lock xacquire repne

32 CE, Xor_r8_rm8, Xor, 2, op0=r;cl op1=r;dh
32 38, Xor_r8_rm8, Xor, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8

33 CE, Xor_r16_rm16, Xor, 2, op0=r;cx op1=r;si
33 18, Xor_r16_rm16, Xor, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 33 CE, Xor_r32_rm32, Xor, 2, op0=r;ecx op1=r;esi
66 33 18, Xor_r32_rm32, Xor, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

34 5A, Xor_AL_imm8, Xor, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

35 5AA5, Xor_AX_imm16, Xor, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 35 5AA51234, Xor_EAX_imm32, Xor, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

37, Aaa, Aaa, 0,

38 CE, Cmp_rm8_r8, Cmp, 2, op0=r;dh op1=r;cl
38 38, Cmp_rm8_r8, Cmp, 2, op0=m;ds;bx;si;1;0;0;UInt8 op1=r;bh

39 CE, Cmp_rm16_r16, Cmp, 2, op0=r;si op1=r;cx
39 18, Cmp_rm16_r16, Cmp, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx

66 39 CE, Cmp_rm32_r32, Cmp, 2, op0=r;esi op1=r;ecx
66 39 18, Cmp_rm32_r32, Cmp, 2, op0=m;ds;bx;si;1;0;0;UInt32 op1=r;ebx

3A CE, Cmp_r8_rm8, Cmp, 2, op0=r;cl op1=r;dh
3A 38, Cmp_r8_rm8, Cmp, 2, op0=r;bh op1=m;ds;bx;si;1;0;0;UInt8

3B CE, Cmp_r16_rm16, Cmp, 2, op0=r;cx op1=r;si
3B 18, Cmp_r16_rm16, Cmp, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;UInt16

66 3B CE, Cmp_r32_rm32, Cmp, 2, op0=r;ecx op1=r;esi
66 3B 18, Cmp_r32_rm32, Cmp, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;UInt32

3C 5A, Cmp_AL_imm8, Cmp, 2, op0=r;al op1=i8;0x5A co=1;1;0;0;0;0

3D 5AA5, Cmp_AX_imm16, Cmp, 2, op0=r;ax op1=i16;0xA55A co=1;2;0;0;0;0

66 3D 5AA51234, Cmp_EAX_imm32, Cmp, 2, op0=r;eax op1=i32;0x3412A55A co=2;4;0;0;0;0

3F, Aas, Aas, 0,

40, Inc_r16, Inc, 1, op0=r;ax
41, Inc_r16, Inc, 1, op0=r;cx
42, Inc_r16, Inc, 1, op0=r;dx
43, Inc_r16, Inc, 1, op0=r;bx
44, Inc_r16, Inc, 1, op0=r;sp
45, Inc_r16, Inc, 1, op0=r;bp
46, Inc_r16, Inc, 1, op0=r;si
47, Inc_r16, Inc, 1, op0=r;di

66 40, Inc_r32, Inc, 1, op0=r;eax
66 41, Inc_r32, Inc, 1, op0=r;ecx
66 42, Inc_r32, Inc, 1, op0=r;edx
66 43, Inc_r32, Inc, 1, op0=r;ebx
66 44, Inc_r32, Inc, 1, op0=r;esp
66 45, Inc_r32, Inc, 1, op0=r;ebp
66 46, Inc_r32, Inc, 1, op0=r;esi
66 47, Inc_r32, Inc, 1, op0=r;edi

48, Dec_r16, Dec, 1, op0=r;ax
49, Dec_r16, Dec, 1, op0=r;cx
4A, Dec_r16, Dec, 1, op0=r;dx
4B, Dec_r16, Dec, 1, op0=r;bx
4C, Dec_r16, Dec, 1, op0=r;sp
4D, Dec_r16, Dec, 1, op0=r;bp
4E, Dec_r16, Dec, 1, op0=r;si
4F, Dec_r16, Dec, 1, op0=r;di

66 48, Dec_r32, Dec, 1, op0=r;eax
66 49, Dec_r32, Dec, 1, op0=r;ecx
66 4A, Dec_r32, Dec, 1, op0=r;edx
66 4B, Dec_r32, Dec, 1, op0=r;ebx
66 4C, Dec_r32, Dec, 1, op0=r;esp
66 4D, Dec_r32, Dec, 1, op0=r;ebp
66 4E, Dec_r32, Dec, 1, op0=r;esi
66 4F, Dec_r32, Dec, 1, op0=r;edi

50, Push_r16, Push, 1, op0=r;ax
51, Push_r16, Push, 1, op0=r;cx
52, Push_r16, Push, 1, op0=r;dx
53, Push_r16, Push, 1, op0=r;bx
54, Push_r16, Push, 1, op0=r;sp
55, Push_r16, Push, 1, op0=r;bp
56, Push_r16, Push, 1, op0=r;si
57, Push_r16, Push, 1, op0=r;di

66 50, Push_r32, Push, 1, op0=r;eax
66 51, Push_r32, Push, 1, op0=r;ecx
66 52, Push_r32, Push, 1, op0=r;edx
66 53, Push_r32, Push, 1, op0=r;ebx
66 54, Push_r32, Push, 1, op0=r;esp
66 55, Push_r32, Push, 1, op0=r;ebp
66 56, Push_r32, Push, 1, op0=r;esi
66 57, Push_r32, Push, 1, op0=r;edi

58, Pop_r16, Pop, 1, op0=r;ax
59, Pop_r16, Pop, 1, op0=r;cx
5A, Pop_r16, Pop, 1, op0=r;dx
5B, Pop_r16, Pop, 1, op0=r;bx
5C, Pop_r16, Pop, 1, op0=r;sp
5D, Pop_r16, Pop, 1, op0=r;bp
5E, Pop_r16, Pop, 1, op0=r;si
5F, Pop_r16, Pop, 1, op0=r;di

66 58, Pop_r32, Pop, 1, op0=r;eax
66 59, Pop_r32, Pop, 1, op0=r;ecx
66 5A, Pop_r32, Pop, 1, op0=r;edx
66 5B, Pop_r32, Pop, 1, op0=r;ebx
66 5C, Pop_r32, Pop, 1, op0=r;esp
66 5D, Pop_r32, Pop, 1, op0=r;ebp
66 5E, Pop_r32, Pop, 1, op0=r;esi
66 5F, Pop_r32, Pop, 1, op0=r;edi

60, Pushaw, Pusha, 0,

66 60, Pushad, Pushad, 0,

61, Popaw, Popa, 0,

66 61, Popad, Popad, 0,

62 18, Bound_r16_m1616, Bound, 2, op0=r;bx op1=m;ds;bx;si;1;0;0;Bound16_WordWord

66 62 18, Bound_r32_m3232, Bound, 2, op0=r;ebx op1=m;ds;bx;si;1;0;0;Bound32_DwordDword

63 18, Arpl_rm16_r16, Arpl, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;bx
63 F2, Arpl_rm16_r16, Arpl, 2, op0=r;dx op1=r;si

66 63 18, Arpl_r32m16_r32, Arpl, 2, op0=m;ds;bx;si;1;0;0;UInt16 op1=r;ebx
66 63 F2, Arpl_r32m16_r32, Arpl, 2, op0=r;edx op1=r;esi

68 5AA5, Push_imm16, Push, 1, op0=i16;0xA55A co=1;2;0;0;0;0

66 68 5AA51234, Pushd_imm32, Push, 1, op0=i32;0x3412A55A co=2;4;0;0;0;0

