# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# ⚠️This file was generated by GENERATOR!🦹‍♂️

INVALID, INVALID, Unknown, Unknown, legacy, , legacy, 00, <invalid>, <invalid>, no-instr 16 32 64 cpl0 cpl1 cpl2 cpl3 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_AL_imm8, Add, Unknown, Unknown, legacy, , legacy, 04, 04 ib, ADD AL| imm8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=al;imm8 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_AX_imm16, Add, Unknown, Unknown, legacy, , legacy, 05, o16 05 iw, ADD AX| imm16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=ax;imm16 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_EAX_imm32, Add, Unknown, Unknown, legacy, , legacy, 05, o32 05 id, ADD EAX| imm32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=eax;imm32 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Add_RAX_imm32, Add, Unknown, Unknown, legacy, , legacy, 05, o64 05 id, ADD RAX| imm32, 64 cpl0 cpl1 cpl2 cpl3 o64 op=rax;imm32sex64 intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushw_ES, Push, Unknown, Unknown, legacy, , legacy, 06, o16 06, PUSH ES, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=es stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushd_ES, Push, Unknown, Unknown, legacy, , legacy, 06, o32 06, PUSH ES, 16 32 cpl0 cpl1 cpl2 cpl3 o32 op=es stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Popw_ES, Pop, Unknown, Unknown, legacy, , legacy, 07, o16 07, POP ES, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=es stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort
Popd_ES, Pop, Unknown, Unknown, legacy, , legacy, 07, o32 07, POP ES, 16 32 cpl0 cpl1 cpl2 cpl3 o32 op=es stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort
Or_rm8_r8, Or, UInt8, Unknown, legacy, , legacy, 08, 08 /r, OR r/m8| r8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_or_mem;r8_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_rm16_r16, Or, UInt16, Unknown, legacy, , legacy, 09, o16 09 /r, OR r/m16| r16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_or_mem;r16_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_rm32_r32, Or, UInt32, Unknown, legacy, , legacy, 09, o32 09 /r, OR r/m32| r32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_or_mem;r32_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_rm64_r64, Or, UInt64, Unknown, legacy, , legacy, 09, o64 09 /r, OR r/m64| r64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_or_mem;r64_reg lock xacquire xrelease intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_r8_rm8, Or, UInt8, Unknown, legacy, , legacy, 0A, 0A /r, OR r8| r/m8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_reg;r8_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_r16_rm16, Or, UInt16, Unknown, legacy, , legacy, 0B, o16 0B /r, OR r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_r32_rm32, Or, UInt32, Unknown, legacy, , legacy, 0B, o32 0B /r, OR r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_r64_rm64, Or, UInt64, Unknown, legacy, , legacy, 0B, o64 0B /r, OR r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_AL_imm8, Or, Unknown, Unknown, legacy, , legacy, 0C, 0C ib, OR AL| imm8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=al;imm8 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_AX_imm16, Or, Unknown, Unknown, legacy, , legacy, 0D, o16 0D iw, OR AX| imm16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=ax;imm16 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_EAX_imm32, Or, Unknown, Unknown, legacy, , legacy, 0D, o32 0D id, OR EAX| imm32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=eax;imm32 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Or_RAX_imm32, Or, Unknown, Unknown, legacy, , legacy, 0D, o64 0D id, OR RAX| imm32, 64 cpl0 cpl1 cpl2 cpl3 o64 op=rax;imm32sex64 intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushw_CS, Push, Unknown, Unknown, legacy, , legacy, 0E, o16 0E, PUSH CS, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=cs stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushd_CS, Push, Unknown, Unknown, legacy, , legacy, 0E, o32 0E, PUSH CS, 16 32 cpl0 cpl1 cpl2 cpl3 o32 op=cs stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Popw_CS, Pop, Unknown, Unknown, legacy, , legacy, 0F, o16 0F, POP CS, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=cs stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_rm8_r8, Adc, UInt8, Unknown, legacy, , legacy, 10, 10 /r, ADC r/m8| r8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_or_mem;r8_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_rm16_r16, Adc, UInt16, Unknown, legacy, , legacy, 11, o16 11 /r, ADC r/m16| r16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_or_mem;r16_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_rm32_r32, Adc, UInt32, Unknown, legacy, , legacy, 11, o32 11 /r, ADC r/m32| r32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_or_mem;r32_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_rm64_r64, Adc, UInt64, Unknown, legacy, , legacy, 11, o64 11 /r, ADC r/m64| r64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_or_mem;r64_reg lock xacquire xrelease intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_r8_rm8, Adc, UInt8, Unknown, legacy, , legacy, 12, 12 /r, ADC r8| r/m8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_reg;r8_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_r16_rm16, Adc, UInt16, Unknown, legacy, , legacy, 13, o16 13 /r, ADC r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_r32_rm32, Adc, UInt32, Unknown, legacy, , legacy, 13, o32 13 /r, ADC r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_r64_rm64, Adc, UInt64, Unknown, legacy, , legacy, 13, o64 13 /r, ADC r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_AL_imm8, Adc, Unknown, Unknown, legacy, , legacy, 14, 14 ib, ADC AL| imm8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=al;imm8 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_AX_imm16, Adc, Unknown, Unknown, legacy, , legacy, 15, o16 15 iw, ADC AX| imm16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=ax;imm16 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_EAX_imm32, Adc, Unknown, Unknown, legacy, , legacy, 15, o32 15 id, ADC EAX| imm32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=eax;imm32 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Adc_RAX_imm32, Adc, Unknown, Unknown, legacy, , legacy, 15, o64 15 id, ADC RAX| imm32, 64 cpl0 cpl1 cpl2 cpl3 o64 op=rax;imm32sex64 intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushw_SS, Push, Unknown, Unknown, legacy, , legacy, 16, o16 16, PUSH SS, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=ss stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushd_SS, Push, Unknown, Unknown, legacy, , legacy, 16, o32 16, PUSH SS, 16 32 cpl0 cpl1 cpl2 cpl3 o32 op=ss stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Popw_SS, Pop, Unknown, Unknown, legacy, , legacy, 17, o16 17, POP SS, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=ss stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort
Popd_SS, Pop, Unknown, Unknown, legacy, , legacy, 17, o32 17, POP SS, 16 32 cpl0 cpl1 cpl2 cpl3 o32 op=ss stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort
Sbb_rm8_r8, Sbb, UInt8, Unknown, legacy, , legacy, 18, 18 /r, SBB r/m8| r8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_or_mem;r8_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_rm16_r16, Sbb, UInt16, Unknown, legacy, , legacy, 19, o16 19 /r, SBB r/m16| r16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_or_mem;r16_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_rm32_r32, Sbb, UInt32, Unknown, legacy, , legacy, 19, o32 19 /r, SBB r/m32| r32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_or_mem;r32_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_rm64_r64, Sbb, UInt64, Unknown, legacy, , legacy, 19, o64 19 /r, SBB r/m64| r64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_or_mem;r64_reg lock xacquire xrelease intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_r8_rm8, Sbb, UInt8, Unknown, legacy, , legacy, 1A, 1A /r, SBB r8| r/m8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_reg;r8_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_r16_rm16, Sbb, UInt16, Unknown, legacy, , legacy, 1B, o16 1B /r, SBB r16| r/m16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_reg;r16_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_r32_rm32, Sbb, UInt32, Unknown, legacy, , legacy, 1B, o32 1B /r, SBB r32| r/m32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_reg;r32_or_mem intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_r64_rm64, Sbb, UInt64, Unknown, legacy, , legacy, 1B, o64 1B /r, SBB r64| r/m64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_reg;r64_or_mem intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_AL_imm8, Sbb, Unknown, Unknown, legacy, , legacy, 1C, 1C ib, SBB AL| imm8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=al;imm8 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_AX_imm16, Sbb, Unknown, Unknown, legacy, , legacy, 1D, o16 1D iw, SBB AX| imm16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=ax;imm16 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_EAX_imm32, Sbb, Unknown, Unknown, legacy, , legacy, 1D, o32 1D id, SBB EAX| imm32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=eax;imm32 intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Sbb_RAX_imm32, Sbb, Unknown, Unknown, legacy, , legacy, 1D, o64 1D id, SBB RAX| imm32, 64 cpl0 cpl1 cpl2 cpl3 o64 op=rax;imm32sex64 intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushw_DS, Push, Unknown, Unknown, legacy, , legacy, 1E, o16 1E, PUSH DS, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=ds stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Pushd_DS, Push, Unknown, Unknown, legacy, , legacy, 1E, o32 1E, PUSH DS, 16 32 cpl0 cpl1 cpl2 cpl3 o32 op=ds stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
Popw_DS, Pop, Unknown, Unknown, legacy, , legacy, 1F, o16 1F, POP DS, 16 32 cpl0 cpl1 cpl2 cpl3 o16 op=ds stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort
Popd_DS, Pop, Unknown, Unknown, legacy, , legacy, 1F, o32 1F, POP DS, 16 32 cpl0 cpl1 cpl2 cpl3 o32 op=ds stack intel16 intel32 amd16 amd32 rm pm v86 cm outside-smm in-smm outside-sgx outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam tsx-impl-abort
And_rm8_r8, And, UInt8, Unknown, legacy, , legacy, 20, 20 /r, AND r/m8| r8, 16 32 64 cpl0 cpl1 cpl2 cpl3 op=r8_or_mem;r8_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
And_rm16_r16, And, UInt16, Unknown, legacy, , legacy, 21, o16 21 /r, AND r/m16| r16, 16 32 64 cpl0 cpl1 cpl2 cpl3 o16 op=r16_or_mem;r16_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
And_rm32_r32, And, UInt32, Unknown, legacy, , legacy, 21, o32 21 /r, AND r/m32| r32, 16 32 64 cpl0 cpl1 cpl2 cpl3 o32 op=r32_or_mem;r32_reg lock xacquire xrelease intel16 intel32 intel64 amd16 amd32 amd64 rm pm v86 cm lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
And_rm64_r64, And, UInt64, Unknown, legacy, , legacy, 21, o64 21 /r, AND r/m64| r64, 64 cpl0 cpl1 cpl2 cpl3 o64 op=r64_or_mem;r64_reg lock xacquire xrelease intel64 amd64 lm outside-smm in-smm outside-sgx in-sgx1 in-sgx2 outside-vmx-op in-vmx-root-op in-vmx-non-root-op outside-seam in-seam
