# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

06, Pushw_ES
66 0F86 5AA51234, Jbe_rel32_32
0F87 5AA5, Ja_rel16
66 0F87 5AA51234, Ja_rel32_32
0F88 5AA5, Js_rel16
66 0F88 5AA51234, Js_rel32_32
0F89 5AA5, Jns_rel16
66 0F89 5AA51234, Jns_rel32_32
0F8A 5AA5, Jp_rel16
66 0F8A 5AA51234, Jp_rel32_32
0F8B 5AA5, Jnp_rel16
66 0F8B 5AA51234, Jnp_rel32_32
0F8C 5AA5, Jl_rel16
66 0F8C 5AA51234, Jl_rel32_32
0F8D 5AA5, Jge_rel16
66 0F8D 5AA51234, Jge_rel32_32
0F8E 5AA5, Jle_rel16
66 0F8E 5AA51234, Jle_rel32_32
0F8F 5AA5, Jg_rel16
66 0F8F 5AA51234, Jg_rel32_32
66 0FA0, Pushd_FS
66 0FA1, Popd_FS
66 0FA8, Pushd_GS
66 0FA9, Popd_GS
66 0F3880 10, Invept_r32_m128
66 0F3881 10, Invvpid_r32_m128
66 0F3882 10, Invpcid_r32_m128
68 5AA5, Push_imm16
6A A5, Pushw_imm8
67 6C, Insb_m8_DX
6C, Insb_m8_DX
67 6D, Insw_m16_DX
6D, Insw_m16_DX
66 67 6D, Insd_m32_DX
66 6D, Insd_m32_DX
67 6E, Outsb_DX_m8
6E, Outsb_DX_m8
67 6F, Outsw_DX_m16
6F, Outsw_DX_m16
66 67 6F, Outsd_DX_m32
66 6F, Outsd_DX_m32
8E E6, Mov_Sreg_rm16
8E 18, Mov_Sreg_rm16
66 8E E6, Mov_Sreg_r32m16
66 8E 18, Mov_Sreg_r32m16
8F C6, Pop_rm16
8F 00, Pop_rm16
90, Nopw
66 90, Nopd
9C, Pushfw
9D, Popfw
A0 DEF0, Mov_AL_moffs8
67 A0 12345678, Mov_AL_moffs8
A1 DEF0, Mov_AX_moffs16
67 A1 12345678, Mov_AX_moffs16
66 A1 DEF0, Mov_EAX_moffs32
66 67 A1 12345678, Mov_EAX_moffs32
A2 DEF0, Mov_moffs8_AL
67 A2 12345678, Mov_moffs8_AL
A3 DEF0, Mov_moffs16_AX
67 A3 12345678, Mov_moffs16_AX
66 A3 DEF0, Mov_moffs32_EAX
66 67 A3 12345678, Mov_moffs32_EAX
67 A4, Movsb_m8_m8
A4, Movsb_m8_m8
67 A5, Movsw_m16_m16
A5, Movsw_m16_m16
66 67 A5, Movsd_m32_m32
66 A5, Movsd_m32_m32
67 A6, Cmpsb_m8_m8
A6, Cmpsb_m8_m8
67 A7, Cmpsw_m16_m16
A7, Cmpsw_m16_m16
66 67 A7, Cmpsd_m32_m32
66 A7, Cmpsd_m32_m32
67 AA, Stosb_m8_AL
AA, Stosb_m8_AL
67 AB, Stosw_m16_AX
AB, Stosw_m16_AX
66 67 AB, Stosd_m32_EAX
66 AB, Stosd_m32_EAX
67 AC, Lodsb_AL_m8
AC, Lodsb_AL_m8
67 AD, Lodsw_AX_m16
AD, Lodsw_AX_m16
66 67 AD, Lodsd_EAX_m32
66 AD, Lodsd_EAX_m32
67 AE, Scasb_AL_m8
AE, Scasb_AL_m8
67 AF, Scasw_AX_m16
AF, Scasw_AX_m16
66 67 AF, Scasd_EAX_m32
66 AF, Scasd_EAX_m32
C7 F8 5AA5, Xbegin_rel16
66 C7 F8 5AA51234, Xbegin_rel32
C8 5AA5 A6, Enterw_imm16_imm8
C9, Leavew
CA 5AA5, Retfw_imm16
66 CA 5AA5, Retfd_imm16
CB, Retfw
66 CB, Retfd
CF, Iretw
66 CF, Iretd
D2 C1, Rol_rm8_CL
D2 00, Rol_rm8_CL
D2 CA, Ror_rm8_CL
D2 08, Ror_rm8_CL
D2 D3, Rcl_rm8_CL
D2 10, Rcl_rm8_CL
D2 DC, Rcr_rm8_CL
D2 18, Rcr_rm8_CL
D2 E5, Shl_rm8_CL
D2 20, Shl_rm8_CL
D2 EE, Shr_rm8_CL
D2 28, Shr_rm8_CL
D2 F8, Sar_rm8_CL
D2 38, Sar_rm8_CL
D3 C1, Rol_rm16_CL
D3 00, Rol_rm16_CL
66 D3 C1, Rol_rm32_CL
66 D3 00, Rol_rm32_CL
D3 CA, Ror_rm16_CL
D3 08, Ror_rm16_CL
66 D3 CA, Ror_rm32_CL
66 D3 08, Ror_rm32_CL
D3 D3, Rcl_rm16_CL
D3 10, Rcl_rm16_CL
66 D3 D3, Rcl_rm32_CL
66 D3 10, Rcl_rm32_CL
D3 DC, Rcr_rm16_CL
D3 18, Rcr_rm16_CL
66 D3 DC, Rcr_rm32_CL
66 D3 18, Rcr_rm32_CL
D3 E5, Shl_rm16_CL
D3 20, Shl_rm16_CL
66 D3 E5, Shl_rm32_CL
66 D3 20, Shl_rm32_CL
D3 EE, Shr_rm16_CL
D3 28, Shr_rm16_CL
66 D3 EE, Shr_rm32_CL
66 D3 28, Shr_rm32_CL
D3 F8, Sar_rm16_CL
D3 38, Sar_rm16_CL
66 D3 F8, Sar_rm32_CL
66 D3 38, Sar_rm32_CL
D9 28, Fldcw_m2byte
D9 38, Fnstcw_m2byte
DD 38, Fnstsw_m2byte
FF 18, Call_m1616
66 FF 18, Call_m1632
FF 28, Jmp_m1616
66 FF 28, Jmp_m1632
FF F6, Push_rm16
FF 30, Push_rm16
0F01 00, Sgdt_m1632_16
66 0F01 00, Sgdt_m1632
0F01 08, Sidt_m1632_16
66 0F01 08, Sidt_m1632
0F01 10, Lgdt_m1632_16
66 0F01 10, Lgdt_m1632
0F01 18, Lidt_m1632_16
66 0F01 18, Lidt_m1632
0F02 CE, Lar_r16_rm16
0F02 18, Lar_r16_rm16
66 0F02 CE, Lar_r32_r32m16
66 0F02 18, Lar_r32_r32m16
0F03 CE, Lsl_r16_rm16
0F03 18, Lsl_r16_rm16
66 0F03 CE, Lsl_r32_r32m16
66 0F03 18, Lsl_r32_r32m16
67 0F1A 08, Bndldx_bnd_mib, MPX
67 0F1B 08, Bndstx_mib_bnd, MPX
C5F8 90 D3, VEX_Kmovw_kr_km16
C5F8 90 08, VEX_Kmovw_kr_km16
C5F9 90 D3, VEX_Kmovb_kr_km8
C5F9 90 08, VEX_Kmovb_kr_km8
C4E1F9 90 D3, VEX_Kmovd_kr_km32
C4E1F9 90 08, VEX_Kmovd_kr_km32
C5F8 91 08, VEX_Kmovw_m16_kr
C5F9 91 08, VEX_Kmovb_m8_kr
C4E1F9 91 08, VEX_Kmovd_m32_kr
C5F8 92 D3, VEX_Kmovw_kr_r32
C5F9 92 D3, VEX_Kmovb_kr_r32
C5FB 92 D3, VEX_Kmovd_kr_r32
C5F8 93 D3, VEX_Kmovw_r32_kr
C5F9 93 D3, VEX_Kmovb_r32_kr
C5FB 93 D3, VEX_Kmovd_r32_kr
C5F8 98 D3, VEX_Kortestw_kr_kr
C4E1F8 98 D3, VEX_Kortestq_kr_kr
C5F9 98 D3, VEX_Kortestb_kr_kr
C4E1F9 98 D3, VEX_Kortestd_kr_kr
C5F8 99 D3, VEX_Ktestw_kr_kr
C4E1F8 99 D3, VEX_Ktestq_kr_kr
C5F9 99 D3, VEX_Ktestb_kr_kr
C4E1F9 99 D3, VEX_Ktestd_kr_kr
0FA0, Pushw_FS
0FA1, Popw_FS
0FA5 CE, Shld_rm16_r16_CL
0FA5 18, Shld_rm16_r16_CL
66 0FA5 CE, Shld_rm32_r32_CL
66 0FA5 18, Shld_rm32_r32_CL
0FA8, Pushw_GS
0FA9, Popw_GS
0FAD CE, Shrd_rm16_r16_CL
0FAD 18, Shrd_rm16_r16_CL
66 0FAD CE, Shrd_rm32_r32_CL
66 0FAD 18, Shrd_rm32_r32_CL
0FB2 18, Lss_r16_m1616
66 0FB2 18, Lss_r32_m1632
0FB4 18, Lfs_r16_m1616
66 0FB4 18, Lfs_r32_m1632
0FB5 18, Lgs_r16_m1616
66 0FB5 18, Lgs_r32_m1632
0FB6 CE, Movzx_r16_rm8
0FB6 18, Movzx_r16_rm8
66 0FB6 CE, Movzx_r32_rm8
66 0FB6 18, Movzx_r32_rm8
0FB7 CE, Movzx_r16_rm16
0FB7 18, Movzx_r16_rm16
66 0FB7 CE, Movzx_r32_rm16
66 0FB7 18, Movzx_r32_rm16
0FBE CE, Movsx_r16_rm8
0FBE 18, Movsx_r16_rm8
66 0FBE CE, Movsx_r32_rm8
66 0FBE 18, Movsx_r32_rm8
0FBF CE, Movsx_r16_rm16
0FBF 18, Movsx_r16_rm16
66 0FBF CE, Movsx_r32_rm16
66 0FBF 18, Movsx_r32_rm16
0FC7 08, Cmpxchg8b_m64
F2 0F38F0 CE, Crc32_r32_rm8
F2 0F38F0 18, Crc32_r32_rm8
F2 0F38F1 CE, Crc32_r32_rm16
F2 0F38F1 18, Crc32_r32_rm16
66 F2 0F38F1 CE, Crc32_r32_rm32
66 F2 0F38F1 18, Crc32_r32_rm32
67 0FF7 D3, Maskmovq_rDI_mm_mm
0FF7 D3, Maskmovq_rDI_mm_mm
67 66 0FF7 D3, Maskmovdqu_rDI_xmm_xmm
66 0FF7 D3, Maskmovdqu_rDI_xmm_xmm
67 C5F9 F7 D3, VEX_Vmaskmovdqu_rDI_xmm_xmm
C5F9 F7 D3, VEX_Vmaskmovdqu_rDI_xmm_xmm
64 6E, Outsb_DX_m8
64 6F, Outsw_DX_m16
64 66 6F, Outsd_DX_m32
64 A4, Movsb_m8_m8
64 A5, Movsw_m16_m16
64 66 A5, Movsd_m32_m32
64 A6, Cmpsb_m8_m8
64 A7, Cmpsw_m16_m16
64 66 A7, Cmpsd_m32_m32
64 AC, Lodsb_AL_m8
64 AD, Lodsw_AX_m16
64 66 AD, Lodsd_EAX_m32
67 D7, Xlat_m8
64 D7, Xlat_m8
64 0FF7 D3, Maskmovq_rDI_mm_mm
64 66 0FF7 D3, Maskmovdqu_rDI_xmm_xmm
64 C5F9 F7 D3, VEX_Vmaskmovdqu_rDI_xmm_xmm
D7, Xlat_m8
D4 0A, Aam_imm8
D5 0A, Aad_imm8
D4 FA, Aam_imm8
D5 FA, Aad_imm8
D9 20, Fldenv_m14byte
66 D9 20, Fldenv_m28byte
D9 30, Fnstenv_m14byte
66 D9 30, Fnstenv_m28byte
DD 20, Frstor_m94byte
66 DD 20, Frstor_m108byte
DD 30, Fnsave_m94byte
66 DD 30, Fnsave_m108byte
0F01 C8, Monitorw
67 0F01 C8, Monitord
0F01 C9, Mwait
64 A0 DEF0, Mov_AL_moffs8
64 67 A0 12345678, Mov_AL_moffs8
64 A1 DEF0, Mov_AX_moffs16
64 67 A1 12345678, Mov_AX_moffs16
64 66 A1 DEF0, Mov_EAX_moffs32
64 66 67 A1 12345678, Mov_EAX_moffs32
64 A2 DEF0, Mov_moffs8_AL
64 67 A2 12345678, Mov_moffs8_AL
64 A3 DEF0, Mov_moffs16_AX
64 67 A3 12345678, Mov_moffs16_AX
64 66 A3 DEF0, Mov_moffs32_EAX
64 66 67 A3 12345678, Mov_moffs32_EAX
8A 08, Mov_r8_rm8
8A 09, Mov_r8_rm8
8A 0A, Mov_r8_rm8
8A 0B, Mov_r8_rm8
8A 0C, Mov_r8_rm8
8A 0D, Mov_r8_rm8
8A 0E CCED, Mov_r8_rm8
8A 0E 3412, Mov_r8_rm8
8A 0F, Mov_r8_rm8
8A 48 EE, Mov_r8_rm8
8A 49 EE, Mov_r8_rm8
8A 4A EE, Mov_r8_rm8
8A 4B EE, Mov_r8_rm8
8A 4C EE, Mov_r8_rm8
8A 4D EE, Mov_r8_rm8
8A 4E EE, Mov_r8_rm8
8A 4F EE, Mov_r8_rm8
8A 48 12, Mov_r8_rm8
8A 49 12, Mov_r8_rm8
8A 4A 12, Mov_r8_rm8
8A 4B 12, Mov_r8_rm8
8A 4C 12, Mov_r8_rm8
8A 4D 12, Mov_r8_rm8
8A 4E 12, Mov_r8_rm8
8A 4F 12, Mov_r8_rm8
8A 88 CCED, Mov_r8_rm8
8A 89 CCED, Mov_r8_rm8
8A 8A CCED, Mov_r8_rm8
8A 8B CCED, Mov_r8_rm8
8A 8C CCED, Mov_r8_rm8
8A 8D CCED, Mov_r8_rm8
8A 8E CCED, Mov_r8_rm8
8A 8F CCED, Mov_r8_rm8
8A 88 3412, Mov_r8_rm8
8A 89 3412, Mov_r8_rm8
8A 8A 3412, Mov_r8_rm8
8A 8B 3412, Mov_r8_rm8
8A 8C 3412, Mov_r8_rm8
8A 8D 3412, Mov_r8_rm8
8A 8E 3412, Mov_r8_rm8
8A 8F 3412, Mov_r8_rm8
64 8A 08, Mov_r8_rm8
64 8A 09, Mov_r8_rm8
64 8A 0A, Mov_r8_rm8
64 8A 0B, Mov_r8_rm8
64 8A 0C, Mov_r8_rm8
64 8A 0D, Mov_r8_rm8
64 8A 0E CCED, Mov_r8_rm8
64 8A 0E 3412, Mov_r8_rm8
64 8A 0F, Mov_r8_rm8
64 8A 48 EE, Mov_r8_rm8
64 8A 49 EE, Mov_r8_rm8
64 8A 4A EE, Mov_r8_rm8
64 8A 4B EE, Mov_r8_rm8
64 8A 4C EE, Mov_r8_rm8
64 8A 4D EE, Mov_r8_rm8
64 8A 4E EE, Mov_r8_rm8
64 8A 4F EE, Mov_r8_rm8
64 8A 48 12, Mov_r8_rm8
64 8A 49 12, Mov_r8_rm8
64 8A 4A 12, Mov_r8_rm8
64 8A 4B 12, Mov_r8_rm8
64 8A 4C 12, Mov_r8_rm8
64 8A 4D 12, Mov_r8_rm8
64 8A 4E 12, Mov_r8_rm8
64 8A 4F 12, Mov_r8_rm8
64 8A 88 CCED, Mov_r8_rm8
64 8A 89 CCED, Mov_r8_rm8
64 8A 8A CCED, Mov_r8_rm8
64 8A 8B CCED, Mov_r8_rm8
64 8A 8C CCED, Mov_r8_rm8
64 8A 8D CCED, Mov_r8_rm8
64 8A 8E CCED, Mov_r8_rm8
64 8A 8F CCED, Mov_r8_rm8
64 8A 88 3412, Mov_r8_rm8
64 8A 89 3412, Mov_r8_rm8
64 8A 8A 3412, Mov_r8_rm8
64 8A 8B 3412, Mov_r8_rm8
64 8A 8C 3412, Mov_r8_rm8
64 8A 8D 3412, Mov_r8_rm8
64 8A 8E 3412, Mov_r8_rm8
64 8A 8F 3412, Mov_r8_rm8
63 F2, Arpl_rm16_r16
63 18, Arpl_rm16_r16
0F01 D8, Vmrunw
67 0F01 D8, Vmrund
0F01 DA, Vmloadw
67 0F01 DA, Vmloadd
0F01 DB, Vmsavew
67 0F01 DB, Vmsaved
0F01 DF, Invlpgaw
67 0F01 DF, Invlpgad
0F01 FA, Monitorxw
67 0F01 FA, Monitorxd
0F01 FC, Clzerow
67 0F01 FC, Clzerod
F2 0F 01 FF, Pvalidatew
67 F2 0F 01 FF, Pvalidated
0F 01 E8, Serialize
F2 0F 01 E8, Xsusldtrk
F2 0F 01 E9, Xresldtrk
F3 0FA6 F0, Via_undoc_F30FA6F0_16
67 F3 0FA6 F0, Via_undoc_F30FA6F0_32
F3 0FA6 F8, Via_undoc_F30FA6F8_16
67 F3 0FA6 F8, Via_undoc_F30FA6F8_32
F3 0FA6 E0, Xsha512_16
67 F3 0FA6 E0, Xsha512_32
F3 0FA7 F8, Xstore_alt_16
67 F3 0FA7 F8, Xstore_alt_32
F3 0FA6 D8, Xsha512_alt_16
67 F3 0FA6 D8, Xsha512_alt_32
