# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

00 CE, Add_rm8_r8
80 28 A5, Sub_rm8_imm8
80 F7 5A, Xor_rm8_imm8
80 30 5A, Xor_rm8_imm8
80 F8 A5, Cmp_rm8_imm8
80 38 A5, Cmp_rm8_imm8
66 81 C1 5AA5, Add_rm16_imm16
66 81 00 5AA5, Add_rm16_imm16
81 C1 5AA51234, Add_rm32_imm32
81 00 5AA51234, Add_rm32_imm32
48 81 C1 5AA51284, Add_rm64_imm32
48 81 00 5AA51284, Add_rm64_imm32
66 81 CA A55A, Or_rm16_imm16
66 81 08 A55A, Or_rm16_imm16
81 CA A55A89AB, Or_rm32_imm32
81 08 A55A89AB, Or_rm32_imm32
48 81 CA 5AA51284, Or_rm64_imm32
48 81 08 5AA51284, Or_rm64_imm32
66 81 D3 5AA5, Adc_rm16_imm16
66 81 10 5AA5, Adc_rm16_imm16
81 D3 5AA51234, Adc_rm32_imm32
81 10 5AA51234, Adc_rm32_imm32
48 81 D3 5AA51284, Adc_rm64_imm32
48 81 10 5AA51284, Adc_rm64_imm32
66 81 DC A55A, Sbb_rm16_imm16
66 81 18 A55A, Sbb_rm16_imm16
81 DC A55A89AB, Sbb_rm32_imm32
81 18 A55A89AB, Sbb_rm32_imm32
48 81 DC 5AA51284, Sbb_rm64_imm32
48 81 18 5AA51284, Sbb_rm64_imm32
66 81 E5 5AA5, And_rm16_imm16
66 81 20 5AA5, And_rm16_imm16
81 E5 5AA51234, And_rm32_imm32
81 20 5AA51234, And_rm32_imm32
48 81 E5 5AA51284, And_rm64_imm32
48 81 20 5AA51284, And_rm64_imm32
66 81 EE A55A, Sub_rm16_imm16
66 81 28 A55A, Sub_rm16_imm16
81 EE A55A89AB, Sub_rm32_imm32
81 28 A55A89AB, Sub_rm32_imm32
48 81 EE 5AA51284, Sub_rm64_imm32
48 81 28 5AA51284, Sub_rm64_imm32
66 81 F7 5AA5, Xor_rm16_imm16
66 81 30 5AA5, Xor_rm16_imm16
81 F7 5AA51234, Xor_rm32_imm32
81 30 5AA51234, Xor_rm32_imm32
48 81 F7 5AA51284, Xor_rm64_imm32
48 81 30 5AA51284, Xor_rm64_imm32
66 81 F8 A55A, Cmp_rm16_imm16
66 81 38 A55A, Cmp_rm16_imm16
81 F8 A55A89AB, Cmp_rm32_imm32
81 38 A55A89AB, Cmp_rm32_imm32
49 81 F8 5AA51284, Cmp_rm64_imm32
48 81 38 5AA51284, Cmp_rm64_imm32
66 83 C1 A5, Add_rm16_imm8
66 83 00 A5, Add_rm16_imm8
83 C1 A5, Add_rm32_imm8
83 00 A5, Add_rm32_imm8
48 83 C1 A5, Add_rm64_imm8
48 83 00 A5, Add_rm64_imm8
66 83 CA A5, Or_rm16_imm8
66 83 08 A5, Or_rm16_imm8
83 CA A5, Or_rm32_imm8
83 08 A5, Or_rm32_imm8
48 83 CA A5, Or_rm64_imm8
48 83 08 A5, Or_rm64_imm8
66 83 D3 A5, Adc_rm16_imm8
66 83 10 A5, Adc_rm16_imm8
83 D3 A5, Adc_rm32_imm8
83 10 A5, Adc_rm32_imm8
48 83 D3 A5, Adc_rm64_imm8
48 83 10 A5, Adc_rm64_imm8
66 83 DC A5, Sbb_rm16_imm8
66 83 18 A5, Sbb_rm16_imm8
83 DC A5, Sbb_rm32_imm8
83 18 A5, Sbb_rm32_imm8
48 83 DC A5, Sbb_rm64_imm8
48 83 18 A5, Sbb_rm64_imm8
66 83 E5 A5, And_rm16_imm8
66 83 20 A5, And_rm16_imm8
83 E5 A5, And_rm32_imm8
83 20 A5, And_rm32_imm8
48 83 E5 A5, And_rm64_imm8
48 83 20 A5, And_rm64_imm8
66 83 EE A5, Sub_rm16_imm8
66 83 28 A5, Sub_rm16_imm8
83 EE A5, Sub_rm32_imm8
83 28 A5, Sub_rm32_imm8
48 83 EE A5, Sub_rm64_imm8
48 83 28 A5, Sub_rm64_imm8
66 83 F7 A5, Xor_rm16_imm8
66 83 30 A5, Xor_rm16_imm8
83 F7 A5, Xor_rm32_imm8
83 30 A5, Xor_rm32_imm8
48 83 F7 A5, Xor_rm64_imm8
48 83 30 A5, Xor_rm64_imm8
66 83 F8 A5, Cmp_rm16_imm8
66 83 38 A5, Cmp_rm16_imm8
83 F8 A5, Cmp_rm32_imm8
83 38 A5, Cmp_rm32_imm8
49 83 F8 A5, Cmp_rm64_imm8
48 83 38 A5, Cmp_rm64_imm8
84 CE, Test_rm8_r8
84 38, Test_rm8_r8
66 85 CE, Test_rm16_r16
66 85 18, Test_rm16_r16
85 CE, Test_rm32_r32
85 18, Test_rm32_r32
48 85 CE, Test_rm64_r64
48 85 18, Test_rm64_r64
86 CE, Xchg_rm8_r8
86 38, Xchg_rm8_r8
66 87 CE, Xchg_rm16_r16
66 87 18, Xchg_rm16_r16
87 CE, Xchg_rm32_r32
87 18, Xchg_rm32_r32
48 87 CE, Xchg_rm64_r64
48 87 18, Xchg_rm64_r64
88 CE, Mov_rm8_r8
88 38, Mov_rm8_r8
66 89 CE, Mov_rm16_r16
66 89 18, Mov_rm16_r16
89 CE, Mov_rm32_r32
89 18, Mov_rm32_r32
48 89 CE, Mov_rm64_r64
48 89 18, Mov_rm64_r64
8A CE, Mov_r8_rm8
8A 38, Mov_r8_rm8
66 8B CE, Mov_r16_rm16
66 8B 18, Mov_r16_rm16
8B CE, Mov_r32_rm32
8B 18, Mov_r32_rm32
48 8B CE, Mov_r64_rm64
48 8B 18, Mov_r64_rm64
66 8C CE, Mov_rm16_Sreg
66 8C 18, Mov_rm16_Sreg
8C CE, Mov_r32m16_Sreg
8C 18, Mov_r32m16_Sreg
48 8C CE, Mov_r64m16_Sreg
48 8C 18, Mov_r64m16_Sreg
66 8D 18, Lea_r16_m
8D 18, Lea_r32_m
48 8D 18, Lea_r64_m
66 8E E6, Mov_Sreg_rm16
66 8E 18, Mov_Sreg_rm16
8E E6, Mov_Sreg_r32m16
8E 18, Mov_Sreg_r32m16
48 8E E6, Mov_Sreg_r64m16
48 8E 18, Mov_Sreg_r64m16
66 8F C6, Pop_rm16
66 8F 00, Pop_rm16
8F C6, Pop_rm64
8F 00, Pop_rm64
66 90, Nopw
66 41 90, Xchg_r16_AX
90, Nopd
41 90, Xchg_r32_EAX
48 90, Nopq
49 90, Xchg_r64_RAX
66 91, Xchg_r16_AX
66 41 91, Xchg_r16_AX
91, Xchg_r32_EAX
41 91, Xchg_r32_EAX
48 91, Xchg_r64_RAX
49 91, Xchg_r64_RAX
66 92, Xchg_r16_AX
66 41 92, Xchg_r16_AX
92, Xchg_r32_EAX
41 92, Xchg_r32_EAX
48 92, Xchg_r64_RAX
49 92, Xchg_r64_RAX
66 93, Xchg_r16_AX
66 41 93, Xchg_r16_AX
93, Xchg_r32_EAX
41 93, Xchg_r32_EAX
48 93, Xchg_r64_RAX
49 93, Xchg_r64_RAX
66 94, Xchg_r16_AX
66 41 94, Xchg_r16_AX
94, Xchg_r32_EAX
41 94, Xchg_r32_EAX
48 94, Xchg_r64_RAX
49 94, Xchg_r64_RAX
66 95, Xchg_r16_AX
66 41 95, Xchg_r16_AX
95, Xchg_r32_EAX
41 95, Xchg_r32_EAX
48 95, Xchg_r64_RAX
49 95, Xchg_r64_RAX
66 96, Xchg_r16_AX
66 41 96, Xchg_r16_AX
96, Xchg_r32_EAX
41 96, Xchg_r32_EAX
48 96, Xchg_r64_RAX
49 96, Xchg_r64_RAX
66 97, Xchg_r16_AX
66 41 97, Xchg_r16_AX
97, Xchg_r32_EAX
41 97, Xchg_r32_EAX
48 97, Xchg_r64_RAX
49 97, Xchg_r64_RAX
F3 90, Pause
66 98, Cbw
98, Cwde
48 98, Cdqe
66 99, Cwd
99, Cdq
48 99, Cqo
9B, Wait
66 9C, Pushfw
9C, Pushfq
66 9D, Popfw
9D, Popfq
9E, Sahf
9F, Lahf
A0 123456789ABCDEF0, Mov_AL_moffs8
67 A0 12345678, Mov_AL_moffs8
66 A1 123456789ABCDEF0, Mov_AX_moffs16
66 67 A1 12345678, Mov_AX_moffs16
A1 123456789ABCDEF0, Mov_EAX_moffs32
67 A1 12345678, Mov_EAX_moffs32
48 A1 123456789ABCDEF0, Mov_RAX_moffs64
67 48 A1 12345678, Mov_RAX_moffs64
A2 123456789ABCDEF0, Mov_moffs8_AL
67 A2 12345678, Mov_moffs8_AL
66 A3 123456789ABCDEF0, Mov_moffs16_AX
66 67 A3 12345678, Mov_moffs16_AX
A3 123456789ABCDEF0, Mov_moffs32_EAX
67 A3 12345678, Mov_moffs32_EAX
48 A3 123456789ABCDEF0, Mov_moffs64_RAX
67 48 A3 12345678, Mov_moffs64_RAX
67 A4, Movsb_m8_m8
A4, Movsb_m8_m8
66 67 A5, Movsw_m16_m16
66 A5, Movsw_m16_m16
67 A5, Movsd_m32_m32
A5, Movsd_m32_m32
67 48 A5, Movsq_m64_m64
48 A5, Movsq_m64_m64
67 A6, Cmpsb_m8_m8
A6, Cmpsb_m8_m8
66 67 A7, Cmpsw_m16_m16
66 A7, Cmpsw_m16_m16
67 A7, Cmpsd_m32_m32
A7, Cmpsd_m32_m32
67 48 A7, Cmpsq_m64_m64
48 A7, Cmpsq_m64_m64
A8 A5, Test_AL_imm8
66 A9 A55A, Test_AX_imm16
A9 A55A3412, Test_EAX_imm32
48 A9 A55A3482, Test_RAX_imm32
67 AA, Stosb_m8_AL
AA, Stosb_m8_AL
66 67 AB, Stosw_m16_AX
66 AB, Stosw_m16_AX
67 AB, Stosd_m32_EAX
AB, Stosd_m32_EAX
67 48 AB, Stosq_m64_RAX
48 AB, Stosq_m64_RAX
67 AC, Lodsb_AL_m8
AC, Lodsb_AL_m8
66 67 AD, Lodsw_AX_m16
66 AD, Lodsw_AX_m16
67 AD, Lodsd_EAX_m32
AD, Lodsd_EAX_m32
67 48 AD, Lodsq_RAX_m64
48 AD, Lodsq_RAX_m64
67 AE, Scasb_AL_m8
AE, Scasb_AL_m8
66 67 AF, Scasw_AX_m16
66 AF, Scasw_AX_m16
67 AF, Scasd_EAX_m32
AF, Scasd_EAX_m32
67 48 AF, Scasq_RAX_m64
48 AF, Scasq_RAX_m64
B0 5A, Mov_r8_imm8
41 B0 5A, Mov_r8_imm8
B1 A5, Mov_r8_imm8
41 B1 A5, Mov_r8_imm8
B2 5A, Mov_r8_imm8
41 B2 5A, Mov_r8_imm8
B3 A5, Mov_r8_imm8
41 B3 A5, Mov_r8_imm8
B4 5A, Mov_r8_imm8
40 B4 5A, Mov_r8_imm8
41 B4 5A, Mov_r8_imm8
B5 A5, Mov_r8_imm8
40 B5 A5, Mov_r8_imm8
41 B5 A5, Mov_r8_imm8
B6 5A, Mov_r8_imm8
40 B6 5A, Mov_r8_imm8
41 B6 5A, Mov_r8_imm8
B7 A5, Mov_r8_imm8
40 B7 A5, Mov_r8_imm8
41 B7 A5, Mov_r8_imm8
66 B8 5AA5, Mov_r16_imm16
66 41 B8 5AA5, Mov_r16_imm16
B8 5AA51234, Mov_r32_imm32
41 B8 5AA51234, Mov_r32_imm32
48 B8 041526375AA51234, Mov_r64_imm64
49 B8 041526375AA51234, Mov_r64_imm64
66 B9 A55A, Mov_r16_imm16
66 41 B9 A55A, Mov_r16_imm16
B9 A55A5678, Mov_r32_imm32
41 B9 A55A5678, Mov_r32_imm32
48 B9 04152637A55A5678, Mov_r64_imm64
49 B9 04152637A55A5678, Mov_r64_imm64
66 BA 5AA5, Mov_r16_imm16
66 41 BA 5AA5, Mov_r16_imm16
BA 5AA51234, Mov_r32_imm32
41 BA 5AA51234, Mov_r32_imm32
48 BA 041526375AA51234, Mov_r64_imm64
49 BA 041526375AA51234, Mov_r64_imm64
66 BB A55A, Mov_r16_imm16
66 41 BB A55A, Mov_r16_imm16
BB A55A5678, Mov_r32_imm32
41 BB A55A5678, Mov_r32_imm32
48 BB 04152637A55A5678, Mov_r64_imm64
49 BB 04152637A55A5678, Mov_r64_imm64
66 BC 5AA5, Mov_r16_imm16
66 41 BC 5AA5, Mov_r16_imm16
BC 5AA51234, Mov_r32_imm32
41 BC 5AA51234, Mov_r32_imm32
48 BC 041526375AA51234, Mov_r64_imm64
49 BC 041526375AA51234, Mov_r64_imm64
66 BD A55A, Mov_r16_imm16
66 41 BD A55A, Mov_r16_imm16
BD A55A5678, Mov_r32_imm32
41 BD A55A5678, Mov_r32_imm32
48 BD 04152637A55A5678, Mov_r64_imm64
49 BD 04152637A55A5678, Mov_r64_imm64
66 BE 5AA5, Mov_r16_imm16
66 41 BE 5AA5, Mov_r16_imm16
BE 5AA51234, Mov_r32_imm32
41 BE 5AA51234, Mov_r32_imm32
48 BE 041526375AA51234, Mov_r64_imm64
49 BE 041526375AA51234, Mov_r64_imm64
66 BF A55A, Mov_r16_imm16
66 41 BF A55A, Mov_r16_imm16
BF A55A5678, Mov_r32_imm32
41 BF A55A5678, Mov_r32_imm32
48 BF 04152637A55A5678, Mov_r64_imm64
49 BF 04152637A55A5678, Mov_r64_imm64
C0 C1 5A, Rol_rm8_imm8
C0 00 5A, Rol_rm8_imm8
C0 CA A5, Ror_rm8_imm8
C0 08 A5, Ror_rm8_imm8
C0 D3 5A, Rcl_rm8_imm8
C0 10 5A, Rcl_rm8_imm8
C0 DC A5, Rcr_rm8_imm8
C0 18 A5, Rcr_rm8_imm8
C0 E5 5A, Shl_rm8_imm8
C0 20 5A, Shl_rm8_imm8
C0 EE A5, Shr_rm8_imm8
C0 28 A5, Shr_rm8_imm8
C0 F8 A5, Sar_rm8_imm8
C0 38 A5, Sar_rm8_imm8
66 C1 C1 5A, Rol_rm16_imm8
66 C1 00 5A, Rol_rm16_imm8
C1 C1 5A, Rol_rm32_imm8
C1 00 5A, Rol_rm32_imm8
48 C1 C1 5A, Rol_rm64_imm8
48 C1 00 5A, Rol_rm64_imm8
66 C1 CA A5, Ror_rm16_imm8
66 C1 08 A5, Ror_rm16_imm8
C1 CA A5, Ror_rm32_imm8
C1 08 A5, Ror_rm32_imm8
48 C1 CA A5, Ror_rm64_imm8
48 C1 08 A5, Ror_rm64_imm8
66 C1 D3 5A, Rcl_rm16_imm8
66 C1 10 5A, Rcl_rm16_imm8
C1 D3 5A, Rcl_rm32_imm8
C1 10 5A, Rcl_rm32_imm8
48 C1 D3 5A, Rcl_rm64_imm8
48 C1 10 5A, Rcl_rm64_imm8
66 C1 DC A5, Rcr_rm16_imm8
66 C1 18 A5, Rcr_rm16_imm8
C1 DC A5, Rcr_rm32_imm8
C1 18 A5, Rcr_rm32_imm8
48 C1 DC A5, Rcr_rm64_imm8
48 C1 18 A5, Rcr_rm64_imm8
66 C1 E5 5A, Shl_rm16_imm8
66 C1 20 5A, Shl_rm16_imm8
C1 E5 5A, Shl_rm32_imm8
C1 20 5A, Shl_rm32_imm8
48 C1 E5 5A, Shl_rm64_imm8
48 C1 20 5A, Shl_rm64_imm8
66 C1 EE A5, Shr_rm16_imm8
66 C1 28 A5, Shr_rm16_imm8
C1 EE A5, Shr_rm32_imm8
C1 28 A5, Shr_rm32_imm8
48 C1 EE A5, Shr_rm64_imm8
48 C1 28 A5, Shr_rm64_imm8
66 C1 F8 A5, Sar_rm16_imm8
66 C1 38 A5, Sar_rm16_imm8
C1 F8 A5, Sar_rm32_imm8
C1 38 A5, Sar_rm32_imm8
49 C1 F8 A5, Sar_rm64_imm8
48 C1 38 A5, Sar_rm64_imm8
C2 5AA5, Retnq_imm16
C3, Retnq
F3 C3, Retnq
C6 C1 5A, Mov_rm8_imm8
C6 00 5A, Mov_rm8_imm8
C6 F8 5A, Xabort_imm8
66 C7 C1 5AA5, Mov_rm16_imm16
66 C7 00 5AA5, Mov_rm16_imm16
C7 C1 5AA51234, Mov_rm32_imm32
C7 00 5AA51234, Mov_rm32_imm32
48 C7 C1 5AA51284, Mov_rm64_imm32
48 C7 00 5AA51284, Mov_rm64_imm32
66 C7 F8 5AA5, Xbegin_rel16
C7 F8 5AA51234, Xbegin_rel32
48 C7 F8 5AA51234, Xbegin_rel32
66 C8 5AA5 A6, Enterw_imm16_imm8
C8 5AA5 A6, Enterq_imm16_imm8
66 C9, Leavew
C9, Leaveq
66 CA 5AA5, Retfw_imm16
CA 5AA5, Retfd_imm16
48 CA 5AA5, Retfq_imm16
66 CB, Retfw
CB, Retfd
48 CB, Retfq
CC, Int3
CD 5A, Int_imm8
66 CF, Iretw
CF, Iretd
48 CF, Iretq
D0 C1, Rol_rm8_1
D0 00, Rol_rm8_1
D0 CA, Ror_rm8_1
D0 08, Ror_rm8_1
D0 D3, Rcl_rm8_1
D0 10, Rcl_rm8_1
D0 DC, Rcr_rm8_1
D0 18, Rcr_rm8_1
D0 E5, Shl_rm8_1
D0 20, Shl_rm8_1
D0 EE, Shr_rm8_1
D0 28, Shr_rm8_1
D0 F8, Sar_rm8_1
D0 38, Sar_rm8_1
66 D1 C1, Rol_rm16_1
66 D1 00, Rol_rm16_1
D1 C1, Rol_rm32_1
D1 00, Rol_rm32_1
48 D1 C1, Rol_rm64_1
48 D1 00, Rol_rm64_1
66 D1 CA, Ror_rm16_1
66 D1 08, Ror_rm16_1
D1 CA, Ror_rm32_1
D1 08, Ror_rm32_1
48 D1 CA, Ror_rm64_1
48 D1 08, Ror_rm64_1
66 D1 D3, Rcl_rm16_1
66 D1 10, Rcl_rm16_1
D1 D3, Rcl_rm32_1
D1 10, Rcl_rm32_1
48 D1 D3, Rcl_rm64_1
48 D1 10, Rcl_rm64_1
66 D1 DC, Rcr_rm16_1
66 D1 18, Rcr_rm16_1
D1 DC, Rcr_rm32_1
D1 18, Rcr_rm32_1
48 D1 DC, Rcr_rm64_1
48 D1 18, Rcr_rm64_1
66 D1 E5, Shl_rm16_1
66 D1 20, Shl_rm16_1
D1 E5, Shl_rm32_1
D1 20, Shl_rm32_1
48 D1 E5, Shl_rm64_1
48 D1 20, Shl_rm64_1
66 D1 EE, Shr_rm16_1
66 D1 28, Shr_rm16_1
D1 EE, Shr_rm32_1
D1 28, Shr_rm32_1
48 D1 EE, Shr_rm64_1
48 D1 28, Shr_rm64_1
66 D1 F8, Sar_rm16_1
66 D1 38, Sar_rm16_1
D1 F8, Sar_rm32_1
D1 38, Sar_rm32_1
49 D1 F8, Sar_rm64_1
48 D1 38, Sar_rm64_1
D2 C1, Rol_rm8_CL
D2 00, Rol_rm8_CL
D2 CA, Ror_rm8_CL
D2 08, Ror_rm8_CL
D2 D3, Rcl_rm8_CL
D2 10, Rcl_rm8_CL
D2 DC, Rcr_rm8_CL
D2 18, Rcr_rm8_CL
D2 E5, Shl_rm8_CL
D2 20, Shl_rm8_CL
D2 EE, Shr_rm8_CL
D2 28, Shr_rm8_CL
D2 F8, Sar_rm8_CL
D2 38, Sar_rm8_CL
