# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

66 06, Pushw_ES
66 6F, Outsw_DX_m16
67 6F, Outsd_DX_m32
6F, Outsd_DX_m32
66 8E E6, Mov_Sreg_rm16
66 8E 18, Mov_Sreg_rm16
8E E6, Mov_Sreg_r32m16
8E 18, Mov_Sreg_r32m16
66 8F C6, Pop_rm16
66 8F 00, Pop_rm16
66 90, Nopw
90, Nopd
66 9C, Pushfw
66 9D, Popfw
A0 9ABCDEF0, Mov_AL_moffs8
67 A0 DEF0, Mov_AL_moffs8
66 A1 9ABCDEF0, Mov_AX_moffs16
66 67 A1 DEF0, Mov_AX_moffs16
A1 9ABCDEF0, Mov_EAX_moffs32
67 A1 DEF0, Mov_EAX_moffs32
A2 9ABCDEF0, Mov_moffs8_AL
67 A2 DEF0, Mov_moffs8_AL
66 A3 9ABCDEF0, Mov_moffs16_AX
66 67 A3 DEF0, Mov_moffs16_AX
A3 9ABCDEF0, Mov_moffs32_EAX
67 A3 DEF0, Mov_moffs32_EAX
67 A4, Movsb_m8_m8
A4, Movsb_m8_m8
66 67 A5, Movsw_m16_m16
66 A5, Movsw_m16_m16
67 A5, Movsd_m32_m32
A5, Movsd_m32_m32
67 A6, Cmpsb_m8_m8
A6, Cmpsb_m8_m8
66 67 A7, Cmpsw_m16_m16
66 A7, Cmpsw_m16_m16
67 A7, Cmpsd_m32_m32
A7, Cmpsd_m32_m32
67 AA, Stosb_m8_AL
AA, Stosb_m8_AL
66 67 AB, Stosw_m16_AX
66 AB, Stosw_m16_AX
67 AB, Stosd_m32_EAX
AB, Stosd_m32_EAX
67 AC, Lodsb_AL_m8
AC, Lodsb_AL_m8
66 67 AD, Lodsw_AX_m16
66 AD, Lodsw_AX_m16
67 AD, Lodsd_EAX_m32
AD, Lodsd_EAX_m32
67 AE, Scasb_AL_m8
AE, Scasb_AL_m8
66 67 AF, Scasw_AX_m16
66 AF, Scasw_AX_m16
67 AF, Scasd_EAX_m32
AF, Scasd_EAX_m32
66 C7 F8 5AA5, Xbegin_rel16
C7 F8 5AA51234, Xbegin_rel32
66 C8 5AA5 A6, Enterw_imm16_imm8
66 C9, Leavew
66 CA 5AA5, Retfw_imm16
CA 5AA5, Retfd_imm16
66 CB, Retfw
CB, Retfd
66 CF, Iretw
CF, Iretd
D2 C1, Rol_rm8_CL
D2 00, Rol_rm8_CL
D2 CA, Ror_rm8_CL
D2 08, Ror_rm8_CL
D2 D3, Rcl_rm8_CL
D2 10, Rcl_rm8_CL
D2 DC, Rcr_rm8_CL
D2 18, Rcr_rm8_CL
D2 E5, Shl_rm8_CL
D2 20, Shl_rm8_CL
D2 EE, Shr_rm8_CL
D2 28, Shr_rm8_CL
D2 F8, Sar_rm8_CL
D2 38, Sar_rm8_CL
66 D3 C1, Rol_rm16_CL
66 D3 00, Rol_rm16_CL
D3 C1, Rol_rm32_CL
D3 00, Rol_rm32_CL
66 D3 CA, Ror_rm16_CL
66 D3 08, Ror_rm16_CL
D3 CA, Ror_rm32_CL
D3 08, Ror_rm32_CL
66 D3 D3, Rcl_rm16_CL
66 D3 10, Rcl_rm16_CL
D3 D3, Rcl_rm32_CL
D3 10, Rcl_rm32_CL
66 D3 DC, Rcr_rm16_CL
66 D3 18, Rcr_rm16_CL
D3 DC, Rcr_rm32_CL
D3 18, Rcr_rm32_CL
66 D3 E5, Shl_rm16_CL
66 D3 20, Shl_rm16_CL
D3 E5, Shl_rm32_CL
D3 20, Shl_rm32_CL
66 D3 EE, Shr_rm16_CL
66 D3 28, Shr_rm16_CL
D3 EE, Shr_rm32_CL
D3 28, Shr_rm32_CL
66 D3 F8, Sar_rm16_CL
66 D3 38, Sar_rm16_CL
D3 F8, Sar_rm32_CL
D3 38, Sar_rm32_CL
D9 28, Fldcw_m2byte
D9 38, Fnstcw_m2byte
DD 38, Fnstsw_m2byte
66 FF 18, Call_m1616
FF 18, Call_m1632
66 FF 28, Jmp_m1616
FF 28, Jmp_m1632
66 FF F6, Push_rm16
66 FF 30, Push_rm16
66 0F01 00, Sgdt_m1632_16
0F01 00, Sgdt_m1632
66 0F01 08, Sidt_m1632_16
0F01 08, Sidt_m1632
66 0F01 10, Lgdt_m1632_16
0F01 10, Lgdt_m1632
66 0F01 18, Lidt_m1632_16
0F01 18, Lidt_m1632
66 0F02 CE, Lar_r16_rm16
66 0F02 18, Lar_r16_rm16
0F02 CE, Lar_r32_r32m16
0F02 18, Lar_r32_r32m16
66 0F03 CE, Lsl_r16_rm16
66 0F03 18, Lsl_r16_rm16
0F03 CE, Lsl_r32_r32m16
0F03 18, Lsl_r32_r32m16
0F1A 08, Bndldx_bnd_mib, MPX
0F1B 08, Bndstx_mib_bnd, MPX
C5F8 90 D3, VEX_Kmovw_kr_km16
C5F8 90 08, VEX_Kmovw_kr_km16
C5F9 90 D3, VEX_Kmovb_kr_km8
C5F9 90 08, VEX_Kmovb_kr_km8
C4E1F9 90 D3, VEX_Kmovd_kr_km32
C4E1F9 90 08, VEX_Kmovd_kr_km32
C5F8 91 08, VEX_Kmovw_m16_kr
C5F9 91 08, VEX_Kmovb_m8_kr
C4E1F9 91 08, VEX_Kmovd_m32_kr
C5F8 92 D3, VEX_Kmovw_kr_r32
C5F9 92 D3, VEX_Kmovb_kr_r32
C5FB 92 D3, VEX_Kmovd_kr_r32
C5F8 93 D3, VEX_Kmovw_r32_kr
C5F9 93 D3, VEX_Kmovb_r32_kr
C5FB 93 D3, VEX_Kmovd_r32_kr
C5F8 98 D3, VEX_Kortestw_kr_kr
C4E1F8 98 D3, VEX_Kortestq_kr_kr
C5F9 98 D3, VEX_Kortestb_kr_kr
C4E1F9 98 D3, VEX_Kortestd_kr_kr
C5F8 99 D3, VEX_Ktestw_kr_kr
C4E1F8 99 D3, VEX_Ktestq_kr_kr
C5F9 99 D3, VEX_Ktestb_kr_kr
C4E1F9 99 D3, VEX_Ktestd_kr_kr
66 0FA0, Pushw_FS
66 0FA1, Popw_FS
66 0FA5 CE, Shld_rm16_r16_CL
66 0FA5 18, Shld_rm16_r16_CL
0FA5 CE, Shld_rm32_r32_CL
0FA5 18, Shld_rm32_r32_CL
66 0FA8, Pushw_GS
66 0FA9, Popw_GS
66 0FAD CE, Shrd_rm16_r16_CL
66 0FAD 18, Shrd_rm16_r16_CL
0FAD CE, Shrd_rm32_r32_CL
0FAD 18, Shrd_rm32_r32_CL
66 0FB2 18, Lss_r16_m1616
0FB2 18, Lss_r32_m1632
66 0FB4 18, Lfs_r16_m1616
0FB4 18, Lfs_r32_m1632
66 0FB5 18, Lgs_r16_m1616
0FB5 18, Lgs_r32_m1632
66 0FB6 CE, Movzx_r16_rm8
66 0FB6 18, Movzx_r16_rm8
0FB6 CE, Movzx_r32_rm8
0FB6 18, Movzx_r32_rm8
66 0FB7 CE, Movzx_r16_rm16
66 0FB7 18, Movzx_r16_rm16
0FB7 CE, Movzx_r32_rm16
0FB7 18, Movzx_r32_rm16
66 0FBE CE, Movsx_r16_rm8
66 0FBE 18, Movsx_r16_rm8
0FBE CE, Movsx_r32_rm8
0FBE 18, Movsx_r32_rm8
66 0FBF CE, Movsx_r16_rm16
66 0FBF 18, Movsx_r16_rm16
0FBF CE, Movsx_r32_rm16
0FBF 18, Movsx_r32_rm16
0FC7 08, Cmpxchg8b_m64
F2 0F38F0 CE, Crc32_r32_rm8
F2 0F38F0 18, Crc32_r32_rm8
66 F2 0F38F1 CE, Crc32_r32_rm16
66 F2 0F38F1 18, Crc32_r32_rm16
F2 0F38F1 CE, Crc32_r32_rm32
F2 0F38F1 18, Crc32_r32_rm32
67 0FF7 D3, Maskmovq_rDI_mm_mm
0FF7 D3, Maskmovq_rDI_mm_mm
67 66 0FF7 D3, Maskmovdqu_rDI_xmm_xmm
66 0FF7 D3, Maskmovdqu_rDI_xmm_xmm
67 C5F9 F7 D3, VEX_Vmaskmovdqu_rDI_xmm_xmm
C5F9 F7 D3, VEX_Vmaskmovdqu_rDI_xmm_xmm
64 6E, Outsb_DX_m8
64 66 6F, Outsw_DX_m16
64 6F, Outsd_DX_m32
64 A4, Movsb_m8_m8
64 66 A5, Movsw_m16_m16
64 A5, Movsd_m32_m32
64 A6, Cmpsb_m8_m8
64 66 A7, Cmpsw_m16_m16
64 A7, Cmpsd_m32_m32
64 AC, Lodsb_AL_m8
64 66 AD, Lodsw_AX_m16
64 AD, Lodsd_EAX_m32
67 D7, Xlat_m8
64 D7, Xlat_m8
64 0FF7 D3, Maskmovq_rDI_mm_mm
64 66 0FF7 D3, Maskmovdqu_rDI_xmm_xmm
64 C5F9 F7 D3, VEX_Vmaskmovdqu_rDI_xmm_xmm
D7, Xlat_m8
D4 FA, Aam_imm8
D5 FA, Aad_imm8
66 D9 20, Fldenv_m14byte
D9 20, Fldenv_m28byte
66 D9 30, Fnstenv_m14byte
D9 30, Fnstenv_m28byte
66 DD 20, Frstor_m94byte
DD 20, Frstor_m108byte
66 DD 30, Fnsave_m94byte
DD 30, Fnsave_m108byte
67 0F01 C8, Monitorw
0F01 C8, Monitord
0F01 C9, Mwait
64 A0 9ABCDEF0, Mov_AL_moffs8
64 67 A0 DEF0, Mov_AL_moffs8
64 66 A1 9ABCDEF0, Mov_AX_moffs16
64 66 67 A1 DEF0, Mov_AX_moffs16
64 A1 9ABCDEF0, Mov_EAX_moffs32
64 67 A1 DEF0, Mov_EAX_moffs32
64 A2 9ABCDEF0, Mov_moffs8_AL
64 67 A2 DEF0, Mov_moffs8_AL
64 66 A3 9ABCDEF0, Mov_moffs16_AX
64 66 67 A3 DEF0, Mov_moffs16_AX
64 A3 9ABCDEF0, Mov_moffs32_EAX
64 67 A3 DEF0, Mov_moffs32_EAX
8A 08, Mov_r8_rm8
8A 48 EE, Mov_r8_rm8
8A 88 88A9CBED, Mov_r8_rm8
8A 0D 88A9CBED, Mov_r8_rm8
8A 48 12, Mov_r8_rm8
8A 88 78563412, Mov_r8_rm8
8A 0D 78563412, Mov_r8_rm8
8A 0C 08, Mov_r8_rm8
8A 0C 48, Mov_r8_rm8
8A 0C 88, Mov_r8_rm8
8A 0C C8, Mov_r8_rm8
8A 4C 08 EE, Mov_r8_rm8
8A 4C 48 EE, Mov_r8_rm8
8A 4C 88 EE, Mov_r8_rm8
8A 4C C8 EE, Mov_r8_rm8
8A 4C 08 12, Mov_r8_rm8
8A 4C 48 12, Mov_r8_rm8
8A 4C 88 12, Mov_r8_rm8
8A 4C C8 12, Mov_r8_rm8
8A 8C 08 88A9CBED, Mov_r8_rm8
8A 8C 48 88A9CBED, Mov_r8_rm8
8A 8C 88 88A9CBED, Mov_r8_rm8
8A 8C C8 88A9CBED, Mov_r8_rm8
8A 8C 08 78563412, Mov_r8_rm8
8A 8C 48 78563412, Mov_r8_rm8
8A 8C 88 78563412, Mov_r8_rm8
8A 8C C8 78563412, Mov_r8_rm8
8A 0C 0D 88A9CBED, Mov_r8_rm8
8A 4C 4D EE, Mov_r8_rm8
8A 8C 8D 88A9CBED, Mov_r8_rm8
8A 0C CD 88A9CBED, Mov_r8_rm8
8A 0C 0D 78563412, Mov_r8_rm8
8A 4C 4D 12, Mov_r8_rm8
8A 8C 8D 78563412, Mov_r8_rm8
8A 0C CD 78563412, Mov_r8_rm8
64 8A 08, Mov_r8_rm8
64 8A 48 EE, Mov_r8_rm8
64 8A 88 88A9CBED, Mov_r8_rm8
64 8A 0D 88A9CBED, Mov_r8_rm8
64 8A 48 12, Mov_r8_rm8
64 8A 88 78563412, Mov_r8_rm8
64 8A 0D 78563412, Mov_r8_rm8
64 8A 0C 08, Mov_r8_rm8
64 8A 0C 48, Mov_r8_rm8
64 8A 0C 88, Mov_r8_rm8
64 8A 0C C8, Mov_r8_rm8
64 8A 4C 08 EE, Mov_r8_rm8
64 8A 4C 48 EE, Mov_r8_rm8
64 8A 4C 88 EE, Mov_r8_rm8
64 8A 4C C8 EE, Mov_r8_rm8
64 8A 4C 08 12, Mov_r8_rm8
64 8A 4C 48 12, Mov_r8_rm8
64 8A 4C 88 12, Mov_r8_rm8
64 8A 4C C8 12, Mov_r8_rm8
64 8A 8C 08 88A9CBED, Mov_r8_rm8
64 8A 8C 48 88A9CBED, Mov_r8_rm8
64 8A 8C 88 88A9CBED, Mov_r8_rm8
64 8A 8C C8 88A9CBED, Mov_r8_rm8
64 8A 8C 08 78563412, Mov_r8_rm8
64 8A 8C 48 78563412, Mov_r8_rm8
64 8A 8C 88 78563412, Mov_r8_rm8
64 8A 8C C8 78563412, Mov_r8_rm8
64 8A 0C 0D 88A9CBED, Mov_r8_rm8
64 8A 4C 4D EE, Mov_r8_rm8
64 8A 8C 8D 88A9CBED, Mov_r8_rm8
64 8A 0C CD 88A9CBED, Mov_r8_rm8
64 8A 0C 0D 78563412, Mov_r8_rm8
64 8A 4C 4D 12, Mov_r8_rm8
64 8A 8C 8D 78563412, Mov_r8_rm8
64 8A 0C CD 78563412, Mov_r8_rm8
67 0F01 D8, Vmrunw
0F01 D8, Vmrund
67 0F01 DA, Vmloadw
0F01 DA, Vmloadd
67 0F01 DB, Vmsavew
0F01 DB, Vmsaved
67 0F01 DF, Invlpgaw
0F01 DF, Invlpgad
67 0F01 FA, Monitorxw
0F01 FA, Monitorxd
67 0F01 FC, Clzerow
0F01 FC, Clzerod
0F01 FD, Rdpru
82 C1 5A, Add_rm8_imm8_82
82 00 5A, Add_rm8_imm8_82
82 CA A5, Or_rm8_imm8_82
82 08 A5, Or_rm8_imm8_82
82 D3 5A, Adc_rm8_imm8_82
82 10 5A, Adc_rm8_imm8_82
82 DC A5, Sbb_rm8_imm8_82
82 18 A5, Sbb_rm8_imm8_82
82 E5 5A, And_rm8_imm8_82
82 20 5A, And_rm8_imm8_82
82 EE A5, Sub_rm8_imm8_82
82 28 A5, Sub_rm8_imm8_82
82 F7 5A, Xor_rm8_imm8_82
82 30 5A, Xor_rm8_imm8_82
82 F8 A5, Cmp_rm8_imm8_82
82 38 A5, Cmp_rm8_imm8_82
DB E5, Frstpm, OldFpu
DF E1, Fnstdw_AX, OldFpu
DF E2, Fnstsg_AX, OldFpu
66 0F00 F1, Jmpe_rm16, Jmpe
66 0F00 30, Jmpe_rm16, Jmpe
0F00 F2, Jmpe_rm32, Jmpe
0F00 30, Jmpe_rm32, Jmpe
0F04, Storeall, Loadall286
0F05, Loadall286, Loadall286
0F07, Loadall386, Loadall386
0F10 CE, Umov_rm8_r8, Umov
0F10 18, Umov_rm8_r8, Umov
66 0F11 CE, Umov_rm16_r16, Umov
66 0F11 18, Umov_rm16_r16, Umov
0F11 CE, Umov_rm32_r32, Umov
0F11 18, Umov_rm32_r32, Umov
0F12 CE, Umov_r8_rm8, Umov
0F12 18, Umov_r8_rm8, Umov
66 0F13 CE, Umov_r16_rm16, Umov
66 0F13 18, Umov_r16_rm16, Umov
0F13 CE, Umov_r32_rm32, Umov
0F13 18, Umov_r32_rm32, Umov
0F24 DE, Mov_r32_tr, MovTr
0F26 DE, Mov_tr_r32, MovTr
66 0FA6 CE, Xbts_r16_rm16, Xbts
66 0FA6 18, Xbts_r16_rm16, Xbts
0FA6 CE, Xbts_r32_rm32, Xbts
0FA6 18, Xbts_r32_rm32, Xbts
66 0FA7 CE, Ibts_rm16_r16, Xbts
66 0FA7 18, Ibts_rm16_r16, Xbts
0FA7 CE, Ibts_rm32_r32, Xbts
0FA7 18, Ibts_rm32_r32, Xbts
0FA6 CE, Cmpxchg486_rm8_r8, Cmpxchg486A
0FA6 18, Cmpxchg486_rm8_r8, Cmpxchg486A
66 0FA7 CE, Cmpxchg486_rm16_r16, Cmpxchg486A
66 0FA7 18, Cmpxchg486_rm16_r16, Cmpxchg486A
0FA7 CE, Cmpxchg486_rm32_r32, Cmpxchg486A
0FA7 18, Cmpxchg486_rm32_r32, Cmpxchg486A
67 F3 0FAE F5, Umonitor_r16
F3 0FAE F5, Umonitor_r32
66 0FB8 5AA5, Jmpe_disp16, Jmpe
0FB8 12345AA5, Jmpe_disp32, Jmpe
67 66 0F38F8 18, Movdir64b_r16_m512
66 0F38F8 18, Movdir64b_r32_m512
67 F3 0F38F8 18, Enqcmds_r16_m512
F3 0F38F8 18, Enqcmds_r32_m512
67 F2 0F38F8 18, Enqcmd_r16_m512
F2 0F38F8 18, Enqcmd_r32_m512
0F24 C0, Mov_r32_tr, MovTr
0F24 C8, Mov_r32_tr, MovTr
0F24 D0, Mov_r32_tr, MovTr
0F24 D8, Mov_r32_tr, MovTr
0F24 E0, Mov_r32_tr, MovTr
0F24 E8, Mov_r32_tr, MovTr
0F24 F0, Mov_r32_tr, MovTr
0F24 F8, Mov_r32_tr, MovTr
0F05, Syscall
0F07, Sysretd
64 67 0F01 C8, Monitorw
64 67 0F01 FA, Monitorxw
64 67 0F01 FC, Clzerow
64 67 F3 0FAE F5, Umonitor_r16
F3 0FA6 C0, Montmul_32
67 F3 0FA6 C0, Montmul_16, NoInvalidCheck
F3 0FA6 C8, Xsha1_32
67 F3 0FA6 C8, Xsha1_16
F3 0FA6 D0, Xsha256_32
67 F3 0FA6 D0, Xsha256_16
F3 0FA7 C0, Xstore_32
67 F3 0FA7 C0, Xstore_16
0FA7 C0, Xstore_32
67 0FA7 C0, Xstore_16
F3 0FA7 C8, Xcryptecb_32
67 F3 0FA7 C8, Xcryptecb_16
F3 0FA7 D0, Xcryptcbc_32
67 F3 0FA7 D0, Xcryptcbc_16
F3 0FA7 D8, Xcryptctr_32
67 F3 0FA7 D8, Xcryptctr_16
F3 0FA7 E0, Xcryptcfb_32
67 F3 0FA7 E0, Xcryptcfb_16
F3 0FA7 E8, Xcryptofb_32
67 F3 0FA7 E8, Xcryptofb_16
67 F2 0F 01 FF, Pvalidatew
F2 0F 01 FF, Pvalidated
0F 01 E8, Serialize
F2 0F 01 E8, Xsusldtrk
F2 0F 01 E9, Xresldtrk
67 0F 01 FE, Invlpgbw
0F 01 FE, Invlpgbd
0F 01 FF, Tlbsync
0F0A, Cl1invmb, Cl1invmb
0F36 00, Rdshr_rm32, Cyrix
0F36 C2, Rdshr_rm32, Cyrix
0F37 00, Wrshr_rm32, Cyrix
0F37 C2, Wrshr_rm32, Cyrix
0F38, Smint, Cyrix
0F39, Dmint, Cyrix_DMI
0F3A, Rdm, Cyrix_DMI
0F78 08, Svdc_m80_Sreg, Cyrix
0F79 08, Rsdc_Sreg_m80, Cyrix
0F7A 00, Svldt_m80, Cyrix
0F7B 00, Rsldt_m80, Cyrix
0F7C 00, Svts_m80, Cyrix
0F7D 00, Rsts_m80, Cyrix
0F7E, Smint_0F7E, Cyrix_SMINT_0F7E
0F3A, Bb0_reset, Cyrix
0F3B, Bb1_reset, Cyrix
0F3C, Cpu_write, Cyrix
0F3D, Cpu_read, Cyrix
0F3F, Altinst, ALTINST
0F50 08, Paveb_mm_mmm64, Cyrix
0F50 CD, Paveb_mm_mmm64, Cyrix
0F51 08, Paddsiw_mm_mmm64, Cyrix
0F51 CD, Paddsiw_mm_mmm64, Cyrix
0F52 08, Pmagw_mm_mmm64, Cyrix
0F52 CD, Pmagw_mm_mmm64, Cyrix
0F54 08, Pdistib_mm_m64, Cyrix
0F55 08, Psubsiw_mm_mmm64, Cyrix
0F55 CD, Psubsiw_mm_mmm64, Cyrix
0F58 08, Pmvzb_mm_m64, Cyrix
0F59 08, Pmulhrw_mm_mmm64, Cyrix
0F59 CD, Pmulhrw_mm_mmm64, Cyrix
0F5A 08, Pmvnzb_mm_m64, Cyrix
0F5B 08, Pmvlzb_mm_m64, Cyrix
0F5C 08, Pmvgezb_mm_m64, Cyrix
0F5D 08, Pmulhriw_mm_mmm64, Cyrix
0F5D CD, Pmulhriw_mm_mmm64, Cyrix
0F5E 08, Pmachriw_mm_m64, Cyrix
D9 D7, Cyrix_D9D7, Cyrix
D9 E2, Cyrix_D9E2, Cyrix
D9 E6, Ftstp, Cyrix
D9 E7, Cyrix_D9E7, Cyrix
DB FC, Frint2, Cyrix
DD FC, Frichop, Cyrix
DE D8, Cyrix_DED8, Cyrix
DE DA, Cyrix_DEDA, Cyrix
DE DC, Cyrix_DEDC, Cyrix
DE DD, Cyrix_DEDD, Cyrix
DE DE, Cyrix_DEDE, Cyrix
DF FC, Frinear, Cyrix
0F0F CD 86, D3NOW_Pfrcpv_mm_mmm64, Cyrix
0F0F 88 34125AA5 86, D3NOW_Pfrcpv_mm_mmm64, Cyrix
0F0F CD 87, D3NOW_Pfrsqrtv_mm_mmm64, Cyrix
