# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

REP movsb %fs:(%rsi),%es:(%rdi)
rep movsb %fs:(%rsi),%es:(%rdi)

mov (%rax,%rdx,1),%ecx
mov (%rax,%rdx),%ecx

movabs $7edcba9876543210,%rax
movabs $ppp7edcba9876543210,%rax
movabs $7edcba9876543210sss,%rax
movabs $7edcba9876543210,%rax
movabs $ppp7edcba9876543210,%rax
movabs $7edcba9876543210sss,%rax
movabs $ppp7edcba9876543210sss,%rax

movabs $9141386507638288912,%rax
movabs $ppp9141386507638288912,%rax
movabs $9141386507638288912sss,%rax
movabs $9141386507638288912,%rax
movabs $ppp9141386507638288912,%rax
movabs $9141386507638288912sss,%rax
movabs $ppp9141386507638288912sss,%rax

movabs $773345651416625031020,%rax
movabs $ppp773345651416625031020,%rax
movabs $773345651416625031020sss,%rax
movabs $773345651416625031020,%rax
movabs $ppp773345651416625031020,%rax
movabs $773345651416625031020sss,%rax
movabs $ppp773345651416625031020sss,%rax

movabs $111111011011100101110101001100001110110010101000011001000010000,%rax
movabs $ppp111111011011100101110101001100001110110010101000011001000010000,%rax
movabs $111111011011100101110101001100001110110010101000011001000010000sss,%rax
movabs $111111011011100101110101001100001110110010101000011001000010000,%rax
movabs $ppp111111011011100101110101001100001110110010101000011001000010000,%rax
movabs $111111011011100101110101001100001110110010101000011001000010000sss,%rax
movabs $ppp111111011011100101110101001100001110110010101000011001000010000sss,%rax

movabs $0x7edcba9876543210,%rax
movabs $0x7edcba9876543210,%rax
movabs $0x7edcba9876543210,%rax
movabs $0x7`e`d`c`b`a`9`8`7`6`5`4`3`2`1`0,%rax
movabs $0x7edcba9876543210,%rax

movabs $9141386507638288912,%rax
movabs $9141386507638288912,%rax
movabs $9141386507638288912,%rax
movabs $9`1`4`1`3`8`6`5`0`7`6`3`8`2`8`8`9`1`2,%rax
movabs $9141386507638288912,%rax

movabs $0773345651416625031020,%rax
movabs $0773345651416625031020,%rax
movabs $0773345651416625031020,%rax
movabs $0`7`7`3`3`4`5`6`5`1`4`1`6`6`2`5`0`3`1`0`2`0,%rax
movabs $0773345651416625031020,%rax

movabs $0b111111011011100101110101001100001110110010101000011001000010000,%rax
movabs $0b111111011011100101110101001100001110110010101000011001000010000,%rax
movabs $0b111111011011100101110101001100001110110010101000011001000010000,%rax
movabs $0b1`1`1`1`1`1`0`1`1`0`1`1`1`0`0`1`0`1`1`1`0`1`0`1`0`0`1`1`0`0`0`0`1`1`1`0`1`1`0`0`1`0`1`0`1`0`0`0`0`1`1`0`0`1`0`0`0`0`1`0`0`0`0,%rax
movabs $0b111111011011100101110101001100001110110010101000011001000010000,%rax

mov $0,%rax
mov $0x10,%rax
mov $0x100,%rax
mov $0x1000,%rax
mov $0x1`0000,%rax
mov $0x10`0000,%rax
mov $0x100`0000,%rax
mov $0x1000`0000,%rax
movabs $0x1`0000`0000,%rax
movabs $0x10`0000`0000,%rax
movabs $0x100`0000`0000,%rax
movabs $0x1000`0000`0000,%rax
movabs $0x1`0000`0000`0000,%rax
movabs $0x10`0000`0000`0000,%rax
movabs $0x100`0000`0000`0000,%rax
movabs $0x1000`0000`0000`0000,%rax

mov $0,%rax
mov $10,%rax
mov $100,%rax
mov $1`000,%rax
mov $10`000,%rax
mov $100`000,%rax
mov $1`000`000,%rax
mov $10`000`000,%rax
mov $100`000`000,%rax
mov $1`000`000`000,%rax
movabs $10`000`000`000,%rax
movabs $100`000`000`000,%rax
movabs $1`000`000`000`000,%rax
movabs $10`000`000`000`000,%rax
movabs $100`000`000`000`000,%rax
movabs $1`000`000`000`000`000,%rax
movabs $10`000`000`000`000`000,%rax
movabs $100`000`000`000`000`000,%rax
movabs $1`000`000`000`000`000`000,%rax
movabs $10`000`000`000`000`000`000,%rax

mov $0,%rax
mov $010,%rax
mov $0100,%rax
mov $0`1000,%rax
mov $01`0000,%rax
mov $010`0000,%rax
mov $0100`0000,%rax
mov $0`1000`0000,%rax
mov $01`0000`0000,%rax
mov $010`0000`0000,%rax
mov $0100`0000`0000,%rax
movabs $0`1000`0000`0000,%rax
movabs $01`0000`0000`0000,%rax
movabs $010`0000`0000`0000,%rax
movabs $0100`0000`0000`0000,%rax
movabs $0`1000`0000`0000`0000,%rax
movabs $01`0000`0000`0000`0000,%rax
movabs $010`0000`0000`0000`0000,%rax
movabs $0100`0000`0000`0000`0000,%rax
movabs $0`1000`0000`0000`0000`0000,%rax
movabs $01`0000`0000`0000`0000`0000,%rax
movabs $010`0000`0000`0000`0000`0000,%rax

mov $0b0,%rax
mov $0b10,%rax
mov $0b100,%rax
mov $0b1000,%rax
mov $0b1`0000,%rax
mov $0b10`0000,%rax
mov $0b100`0000,%rax
mov $0b1000`0000,%rax
mov $0b1`0000`0000,%rax
mov $0b10`0000`0000,%rax
mov $0b100`0000`0000,%rax
mov $0b1000`0000`0000,%rax
mov $0b1`0000`0000`0000,%rax
mov $0b10`0000`0000`0000,%rax
mov $0b100`0000`0000`0000,%rax
mov $0b1000`0000`0000`0000,%rax

mov $0x1000`0000,%eax
mov $10`000`000,%eax
mov $000`1000`0000,%eax
mov $0b0000`0000`0000`0000`0000`0000`1000`0000,%eax

mov $0x0000`0000`1000`0000,%rax
mov $10`000`000,%rax
mov $00`0000`0000`0000`1000`0000,%rax
mov $0b0000`0000`0000`0000`0000`0000`0000`0000`0000`0000`0000`0000`0000`0000`1000`0000,%rax

movabs $0xFEDCBA9876543210,%rax
movabs $0xfedcba9876543210,%rax

mov -0xa(%rax),%al
mov -9(%rax),%al
mov -8(%rax),%al
mov -7(%rax),%al
mov -6(%rax),%al
mov -5(%rax),%al
mov -4(%rax),%al
mov -3(%rax),%al
mov -2(%rax),%al
mov -1(%rax),%al
mov 0(%rax),%al
mov 1(%rax),%al
mov 2(%rax),%al
mov 3(%rax),%al
mov 4(%rax),%al
mov 5(%rax),%al
mov 6(%rax),%al
mov 7(%rax),%al
mov 8(%rax),%al
mov 9(%rax),%al
mov 0xa(%rax),%al

mov -0xa(%rax),%al
mov -0x9(%rax),%al
mov -0x8(%rax),%al
mov -0x7(%rax),%al
mov -0x6(%rax),%al
mov -0x5(%rax),%al
mov -0x4(%rax),%al
mov -0x3(%rax),%al
mov -0x2(%rax),%al
mov -0x1(%rax),%al
mov 0x0(%rax),%al
mov 0x1(%rax),%al
mov 0x2(%rax),%al
mov 0x3(%rax),%al
mov 0x4(%rax),%al
mov 0x5(%rax),%al
mov 0x6(%rax),%al
mov 0x7(%rax),%al
mov 0x8(%rax),%al
mov 0x9(%rax),%al
mov 0xa(%rax),%al

movabs $0fedcba9876543210,%rax
movabs $fedcba9876543210,%rax
movabs $0fedcba9876543210,%rax
movabs $fedcba9876543210,%rax

jo 0x7ffffffffffffff2
jo 0x7ffffffffffffff2

MOVABS $pppfedcba9876543210sss,%RAX
movabs $pppfedcba9876543210sss,%rax

jo 0x2
jo 0x0000000000000002

mov $-0x5b,%cl
mov $0xa5,%cl
mov $-0x5aa6,%cx
mov $0xa55a,%cx
mov $-0x5aa5edcc,%ecx
mov $0xa55a1234,%ecx
movabs $-0x5aa5edcbedcba988,%rcx
movabs $0xa55a123412345678,%rcx
or $-0x5b,%cx
or $0xffa5,%cx
or $-0x5b,%ecx
or $0xffffffa5,%ecx
or $-0x5b,%rcx
or $0xffffffffffffffa5,%rcx
or $-0x5aa5edcc,%rcx
or $0xffffffffa55a1234,%rcx

mov 0(%bx,%si),%al
mov (%bx,%si),%al
mov 0(%bx,%si),%al
mov (%bx,%si),%al
mov 0,%al
mov 0,%al
mov 0,%al
mov 0,%al
mov 0(%eax),%al
mov (%eax),%al
mov 0(%eax),%al
mov (%eax),%al
mov 0,%al
mov 0,%al
mov 0(%eax,%eax,2),%al
mov (%eax,%eax,2),%al
mov 0(%eax,%eax,2),%al
mov (%eax,%eax,2),%al
mov 0(%rip),%al
mov (%rip),%al
mov 0,%al
mov 0,%al

mov $0x0,%cl
mov $0x00,%cl
mov $0x0,%cx
mov $0x0000,%cx
mov $0x0,%ecx
mov $0x00000000,%ecx
movabs $0x0,%rcx
movabs $0x0000000000000000,%rcx
or $0x0,%cx
or $0x0000,%cx
or $0x0,%ecx
or $0x00000000,%ecx
or $0x0,%rcx
or $0x0000000000000000,%rcx
or $0x0,%rcx
or $0x0000000000000000,%rcx
mov 0x0,%al
mov 0x0,%al
mov 0x0,%al
mov 0x0,%al
mov 0x0,%al
mov 0x0,%al

mov -0x1(%bx),%cl
mov -0x1(%bx),%cl
mov 0x1(%bx),%cl
mov 0x1(%bx),%cl
mov -0x1(%bx),%cl
mov -0x1(%bx),%cl
mov 0x1(%bx),%cl
mov 0x1(%bx),%cl
mov -0x1(%eax),%cl
mov -0x1(%eax),%cl
mov 0x1(%eax),%cl
mov 0x1(%eax),%cl
mov -0x1(%eax),%cl
mov -0x1(%eax),%cl
mov 0x1(%eax),%cl
mov 0x1(%eax),%cl
mov -0x1(%rax),%cl
mov -0x1(%rax),%cl
mov 0x1(%rax),%cl
mov 0x1(%rax),%cl
mov -0x1(%rax),%cl
mov -0x1(%rax),%cl
mov 0x1(%rax),%cl
mov 0x1(%rax),%cl

mov 0xffff(%bx),%cl
mov 0xffff(%bx),%cl
mov 0x1(%bx),%cl
mov 0x1(%bx),%cl
mov 0xffff(%bx),%cl
mov 0xffff(%bx),%cl
mov 0x1(%bx),%cl
mov 0x1(%bx),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0x1(%eax),%cl
mov 0x1(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0x1(%eax),%cl
mov 0x1(%eax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0x1(%rax),%cl
mov 0x1(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0x1(%rax),%cl
mov 0x1(%rax),%cl

mov -0x0001(%bx),%cl
mov -0x0001(%bx),%cl
mov 0x0001(%bx),%cl
mov 0x0001(%bx),%cl
mov -0x0001(%bx),%cl
mov -0x0001(%bx),%cl
mov 0x0001(%bx),%cl
mov 0x0001(%bx),%cl
mov -0x00000001(%eax),%cl
mov -0x00000001(%eax),%cl
mov 0x00000001(%eax),%cl
mov 0x00000001(%eax),%cl
mov -0x00000001(%eax),%cl
mov -0x00000001(%eax),%cl
mov 0x00000001(%eax),%cl
mov 0x00000001(%eax),%cl
mov -0x00000001(%rax),%cl
mov -0x00000001(%rax),%cl
mov 0x00000001(%rax),%cl
mov 0x00000001(%rax),%cl
mov -0x00000001(%rax),%cl
mov -0x00000001(%rax),%cl
mov 0x00000001(%rax),%cl
mov 0x00000001(%rax),%cl

mov 0xffff(%bx),%cl
mov 0xffff(%bx),%cl
mov 0x0001(%bx),%cl
mov 0x0001(%bx),%cl
mov 0xffff(%bx),%cl
mov 0xffff(%bx),%cl
mov 0x0001(%bx),%cl
mov 0x0001(%bx),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0x00000001(%eax),%cl
mov 0x00000001(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0x00000001(%eax),%cl
mov 0x00000001(%eax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0x00000001(%rax),%cl
mov 0x00000001(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0x00000001(%rax),%cl
mov 0x00000001(%rax),%cl

mov 0xffff,%al
mov 0xffff,%al
mov 0xffffffff,%al
mov 0xffffffff,%al
mov 0xffffffffffffffff,%al
mov 0xffffffffffffffff,%al

mov 0x0,%al
mov 0x0,%al
mov 0x0,%al
mov 0x0,%al
mov 0x0,%al
mov 0x0,%al

mov 0xffff,%al
mov 0xffff,%al
mov 0xffffffff,%al
mov 0xffffffff,%al
mov 0xffffffffffffffff,%al
mov 0xffffffffffffffff,%al

mov 0x0000,%al
mov 0x0000,%al
mov 0x00000000,%al
mov 0x00000000,%al
mov 0x0000000000000000,%al
mov 0x0000000000000000,%al

mov -0x0001(%bx),%cl
mov -0x1(%bx),%cl
mov -0x00000001(%eax),%cl
mov -0x1(%eax),%cl
mov -0x00000001(%rax),%cl
mov -0x1(%rax),%cl
mov 0x0001(%bx),%cl
mov 0x1(%bx),%cl
mov 0x00000001(%eax),%cl
mov 0x1(%eax),%cl
mov 0x00000001(%rax),%cl
mov 0x1(%rax),%cl

mov 0xffff(%bx),%cl
mov 0xffff(%bx),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0x0001(%bx),%cl
mov 0x1(%bx),%cl
mov 0x00000001(%eax),%cl
mov 0x1(%eax),%cl
mov 0x00000001(%rax),%cl
mov 0x1(%rax),%cl

mov -0x0001(%bx),%cl
mov -0x1(%bx),%cl
mov -0x00000001(%eax),%cl
mov -0x1(%eax),%cl
mov -0x00000001(%rax),%cl
mov -0x1(%rax),%cl
mov 0x0001(%bx),%cl
mov 0x1(%bx),%cl
mov 0x00000001(%eax),%cl
mov 0x1(%eax),%cl
mov 0x00000001(%rax),%cl
mov 0x1(%rax),%cl

mov 0xffff(%bx),%cl
mov 0xffff(%bx),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffff(%eax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0xffffffffffffffff(%rax),%cl
mov 0x0001(%bx),%cl
mov 0x1(%bx),%cl
mov 0x00000001(%eax),%cl
mov 0x1(%eax),%cl
mov 0x00000001(%rax),%cl
mov 0x1(%rax),%cl

vfnmadd231ps 0x1fc0(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps -0x2000(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x1fc0(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps 0xe000(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x1fc0(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps -0x2000(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x1fc0(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0xffffe000(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x1fc0(%rax),%zmm6,%zmm2{%k3}
vfnmadd231ps -0x2000(%rax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x1fc0(%rax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0xffffffffffffe000(%rax),%zmm6,%zmm2{%k3}

vfnmadd231ps 0x1fc0(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps -0x2000(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x1fc0(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps 0xe000(%bx,%si),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x00001fc0(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps -0x00002000(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x00001fc0(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0xffffe000(%eax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x00001fc0(%rax),%zmm6,%zmm2{%k3}
vfnmadd231ps -0x00002000(%rax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0x00001fc0(%rax),%zmm6,%zmm2{%k3}
vfnmadd231ps 0xffffffffffffe000(%rax),%zmm6,%zmm2{%k3}

fadd %st(3),%st
fmul %st(3),%st
fsub %st(3),%st
fsubr %st(3),%st
fdiv %st(3),%st
fdivr %st(3),%st
fcmovb %st(3),%st
fcmove %st(3),%st
fcmovbe %st(3),%st
fcmovu %st(3),%st
fcmovnb %st(3),%st
fcmovne %st(3),%st
fcmovnbe %st(3),%st
fcmovnu %st(3),%st
fucomi %st(3),%st
fcomi %st(3),%st
fadd %st,%st(3)
fmul %st,%st(3)
fsub %st,%st(3)
fsubr %st,%st(3)
fdiv %st,%st(3)
fdivr %st,%st(3)
faddp %st,%st(3)
fmulp %st,%st(3)
fsubp %st,%st(3)
fsubrp %st,%st(3)
fdivp %st,%st(3)
fdivrp %st,%st(3)
fucomip %st(3),%st
fcomip %st(3),%st

fadd %st(3),%st(0)
fmul %st(3),%st(0)
fsub %st(3),%st(0)
fsubr %st(3),%st(0)
fdiv %st(3),%st(0)
fdivr %st(3),%st(0)
fcmovb %st(3),%st(0)
fcmove %st(3),%st(0)
fcmovbe %st(3),%st(0)
fcmovu %st(3),%st(0)
fcmovnb %st(3),%st(0)
fcmovne %st(3),%st(0)
fcmovnbe %st(3),%st(0)
fcmovnu %st(3),%st(0)
fucomi %st(3),%st(0)
fcomi %st(3),%st(0)
fadd %st(0),%st(3)
fmul %st(0),%st(3)
fsub %st(0),%st(3)
fsubr %st(0),%st(3)
fdiv %st(0),%st(3)
fdivr %st(0),%st(3)
faddp %st(0),%st(3)
fmulp %st(0),%st(3)
fsubp %st(0),%st(3)
fsubrp %st(0),%st(3)
fdivp %st(0),%st(3)
fdivrp %st(0),%st(3)
fucomip %st(3),%st(0)
fcomip %st(3),%st(0)

jb 0x7ff2
jc 0x7ff2
jnae 0x7ff2
jae 0x7ff2
jnb 0x7ff2
jnc 0x7ff2
je 0x7ff2
jz 0x7ff2
jne 0x7ff2
jnz 0x7ff2
jbe 0x7ff2
jna 0x7ff2
ja 0x7ff2
jnbe 0x7ff2
jp 0x7ff2
jpe 0x7ff2
jnp 0x7ff2
jpo 0x7ff2
jl 0x7ff2
jnge 0x7ff2
jge 0x7ff2
jnl 0x7ff2
jle 0x7ff2
jng 0x7ff2
jg 0x7ff2
jnle 0x7ff2

jb 0x7ffffff2
jc 0x7ffffff2
jnae 0x7ffffff2
jae 0x7ffffff2
jnb 0x7ffffff2
jnc 0x7ffffff2
je 0x7ffffff2
jz 0x7ffffff2
jne 0x7ffffff2
jnz 0x7ffffff2
jbe 0x7ffffff2
jna 0x7ffffff2
ja 0x7ffffff2
jnbe 0x7ffffff2
jp 0x7ffffff2
jpe 0x7ffffff2
jnp 0x7ffffff2
jpo 0x7ffffff2
jl 0x7ffffff2
jnge 0x7ffffff2
jge 0x7ffffff2
jnl 0x7ffffff2
jle 0x7ffffff2
jng 0x7ffffff2
jg 0x7ffffff2
jnle 0x7ffffff2

jb 0x7ffffffffffffff2
jc 0x7ffffffffffffff2
jnae 0x7ffffffffffffff2
jae 0x7ffffffffffffff2
jnb 0x7ffffffffffffff2
jnc 0x7ffffffffffffff2
je 0x7ffffffffffffff2
jz 0x7ffffffffffffff2
jne 0x7ffffffffffffff2
jnz 0x7ffffffffffffff2
jbe 0x7ffffffffffffff2
jna 0x7ffffffffffffff2
ja 0x7ffffffffffffff2
jnbe 0x7ffffffffffffff2
jp 0x7ffffffffffffff2
jpe 0x7ffffffffffffff2
jnp 0x7ffffffffffffff2
jpo 0x7ffffffffffffff2
jl 0x7ffffffffffffff2
jnge 0x7ffffffffffffff2
jge 0x7ffffffffffffff2
jnl 0x7ffffffffffffff2
jle 0x7ffffffffffffff2
jng 0x7ffffffffffffff2
jg 0x7ffffffffffffff2
jnle 0x7ffffffffffffff2

jb 0x7ff4
jc 0x7ff4
jnae 0x7ff4
jae 0x7ff4
jnb 0x7ff4
jnc 0x7ff4
je 0x7ff4
jz 0x7ff4
jne 0x7ff4
jnz 0x7ff4
jbe 0x7ff4
jna 0x7ff4
ja 0x7ff4
jnbe 0x7ff4
jp 0x7ff4
jpe 0x7ff4
jnp 0x7ff4
jpo 0x7ff4
jl 0x7ff4
jnge 0x7ff4
jge 0x7ff4
jnl 0x7ff4
jle 0x7ff4
jng 0x7ff4
jg 0x7ff4
jnle 0x7ff4

jb 0x7ffffff6
jc 0x7ffffff6
jnae 0x7ffffff6
jae 0x7ffffff6
jnb 0x7ffffff6
jnc 0x7ffffff6
je 0x7ffffff6
jz 0x7ffffff6
jne 0x7ffffff6
jnz 0x7ffffff6
jbe 0x7ffffff6
jna 0x7ffffff6
ja 0x7ffffff6
jnbe 0x7ffffff6
jp 0x7ffffff6
jpe 0x7ffffff6
jnp 0x7ffffff6
jpo 0x7ffffff6
jl 0x7ffffff6
jnge 0x7ffffff6
jge 0x7ffffff6
jnl 0x7ffffff6
jle 0x7ffffff6
jng 0x7ffffff6
jg 0x7ffffff6
jnle 0x7ffffff6

jb 0x7ffffffffffffff6
jc 0x7ffffffffffffff6
jnae 0x7ffffffffffffff6
jae 0x7ffffffffffffff6
jnb 0x7ffffffffffffff6
jnc 0x7ffffffffffffff6
je 0x7ffffffffffffff6
jz 0x7ffffffffffffff6
jne 0x7ffffffffffffff6
jnz 0x7ffffffffffffff6
jbe 0x7ffffffffffffff6
jna 0x7ffffffffffffff6
ja 0x7ffffffffffffff6
jnbe 0x7ffffffffffffff6
jp 0x7ffffffffffffff6
jpe 0x7ffffffffffffff6
jnp 0x7ffffffffffffff6
jpo 0x7ffffffffffffff6
jl 0x7ffffffffffffff6
jnge 0x7ffffffffffffff6
jge 0x7ffffffffffffff6
jnl 0x7ffffffffffffff6
jle 0x7ffffffffffffff6
jng 0x7ffffffffffffff6
jg 0x7ffffffffffffff6
jnle 0x7ffffffffffffff6

loopne 0x7ff2
loopnz 0x7ff2
loopnel 0x7ff3
loopnzl 0x7ff3
loope 0x7ff2
loopz 0x7ff2
loopel 0x7ff3
loopzl 0x7ff3

loopnew 0x7ffffff3
loopnzw 0x7ffffff3
loopne 0x7ffffff2
loopnz 0x7ffffff2
loopew 0x7ffffff3
