# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# invalid instruction
26262626262626262626262626262626, INVALID, Legacy, INTEL8086, flow=Exception
66 0B 18, Or_r16_rm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=bx r=rax rm=ds:rax;UInt16
# or ecx,esi
0B CE, Or_r32_rm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rcx r=ecx r=esi
# or ebx,[rax]
0B 18, Or_r32_rm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rbx r=ebx r=rax rm=ds:rax;UInt32
# or rcx,rsi
48 0B CE, Or_r64_rm64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rcx r=rsi
# or rbx,[rax]
48 0B 18, Or_r64_rm64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rbx r=rax rm=ds:rax;UInt64
# or al,0A5h
0C A5, Or_AL_imm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=al
# or ax,5AA5h
66 0D A55A, Or_AX_imm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=ax
# or eax,12345AA5h
0D A55A3412, Or_EAX_imm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rax r=eax
# or rax,0FFFFFFFFA2345AA5h
48 0D A55A34A2, Or_RAX_imm32, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rax
# adc dh,cl
10 CE, Adc_rm8_r8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=dh r=cl
# adc [rax],bh
10 38, Adc_rm8_r8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r r=rax r=bh rwm=ds:rax;UInt8
# adc si,cx
66 11 CE, Adc_rm16_r16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=si r=cx
# adc [rax],bx
66 11 18, Adc_rm16_r16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r r=rax r=bx rwm=ds:rax;UInt16
# adc esi,ecx
11 CE, Adc_rm32_r32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rsi r=esi r=ecx
# adc [rax],ebx
11 18, Adc_rm32_r32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r r=rax r=ebx rwm=ds:rax;UInt32
# adc rsi,rcx
48 11 CE, Adc_rm64_r64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rsi r=rcx
# adc [rax],rbx
48 11 18, Adc_rm64_r64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r r=rax r=rbx rwm=ds:rax;UInt64
# adc cl,dh
12 CE, Adc_r8_rm8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=cl r=dh
# adc bh,[rax]
12 38, Adc_r8_rm8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=bh r=rax rm=ds:rax;UInt8
# adc cx,si
66 13 CE, Adc_r16_rm16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=cx r=si
# adc bx,[rax]
66 13 18, Adc_r16_rm16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=bx r=rax rm=ds:rax;UInt16
# adc ecx,esi
13 CE, Adc_r32_rm32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rcx r=ecx r=esi
# adc ebx,[rax]
13 18, Adc_r32_rm32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rbx r=ebx r=rax rm=ds:rax;UInt32
# adc rcx,rsi
48 13 CE, Adc_r64_rm64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rcx r=rsi
# adc rbx,[rax]
48 13 18, Adc_r64_rm64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rbx r=rax rm=ds:rax;UInt64
# adc al,0A5h
14 A5, Adc_AL_imm8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=al
# adc ax,5AA5h
66 15 A55A, Adc_AX_imm16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=ax
# adc eax,12345AA5h
15 A55A3412, Adc_EAX_imm32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rax r=eax
# adc rax,0FFFFFFFFA2345AA5h
48 15 A55A34A2, Adc_RAX_imm32, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rax
# sbb dh,cl
18 CE, Sbb_rm8_r8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=dh r=cl
# sbb [rax],bh
18 38, Sbb_rm8_r8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r r=rax r=bh rwm=ds:rax;UInt8
# sbb si,cx
66 19 CE, Sbb_rm16_r16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=si r=cx
# sbb [rax],bx
66 19 18, Sbb_rm16_r16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r r=rax r=bx rwm=ds:rax;UInt16
# sbb esi,ecx
19 CE, Sbb_rm32_r32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rsi r=esi r=ecx
# sbb [rax],ebx
19 18, Sbb_rm32_r32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r r=rax r=ebx rwm=ds:rax;UInt32
# sbb rsi,rcx
48 19 CE, Sbb_rm64_r64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rsi r=rcx
# sbb [rax],rbx
48 19 18, Sbb_rm64_r64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r r=rax r=rbx rwm=ds:rax;UInt64
# sbb cl,dh
1A CE, Sbb_r8_rm8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=cl r=dh
# sbb bh,[rax]
1A 38, Sbb_r8_rm8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=bh r=rax rm=ds:rax;UInt8
# sbb cx,si
66 1B CE, Sbb_r16_rm16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=cx r=si
# sbb bx,[rax]
66 1B 18, Sbb_r16_rm16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=bx r=rax rm=ds:rax;UInt16
# sbb ecx,esi
1B CE, Sbb_r32_rm32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rcx r=ecx r=esi
# sbb ebx,[rax]
1B 18, Sbb_r32_rm32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rbx r=ebx r=rax rm=ds:rax;UInt32
# sbb rcx,rsi
48 1B CE, Sbb_r64_rm64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rcx r=rsi
# sbb rbx,[rax]
48 1B 18, Sbb_r64_rm64, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rbx r=rax rm=ds:rax;UInt64
# sbb al,0A5h
1C A5, Sbb_AL_imm8, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=al
# sbb ax,5AA5h
66 1D A55A, Sbb_AX_imm16, Legacy, INTEL8086, fr=c fw=oszacp op0=rw op1=r rw=ax
# sbb eax,12345AA5h
1D A55A3412, Sbb_EAX_imm32, Legacy, INTEL386, fr=c fw=oszacp op0=rw op1=r w=rax r=eax
# sbb rax,0FFFFFFFFA2345AA5h
48 1D A55A34A2, Sbb_RAX_imm32, Legacy, X64, fr=c fw=oszacp op0=rw op1=r rw=rax
# and dh,cl
20 CE, And_rm8_r8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=dh r=cl
# and [rax],bh
20 38, And_rm8_r8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=bh rwm=ds:rax;UInt8
# and si,cx
66 21 CE, And_rm16_r16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=si r=cx
# and [rax],bx
66 21 18, And_rm16_r16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=bx rwm=ds:rax;UInt16
# and esi,ecx
21 CE, And_rm32_r32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rsi r=esi r=ecx
# and [rax],ebx
21 18, And_rm32_r32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=ebx rwm=ds:rax;UInt32
# and rsi,rcx
48 21 CE, And_rm64_r64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rsi r=rcx
# and [rax],rbx
48 21 18, And_rm64_r64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=rbx rwm=ds:rax;UInt64
# and cl,dh
22 CE, And_r8_rm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=cl r=dh
# and bh,[rax]
22 38, And_r8_rm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=bh r=rax rm=ds:rax;UInt8
# and cx,si
66 23 CE, And_r16_rm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=cx r=si
# and bx,[rax]
66 23 18, And_r16_rm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=bx r=rax rm=ds:rax;UInt16
# and ecx,esi
23 CE, And_r32_rm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rcx r=ecx r=esi
# and ebx,[rax]
23 18, And_r32_rm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rbx r=ebx r=rax rm=ds:rax;UInt32
# and rcx,rsi
48 23 CE, And_r64_rm64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rcx r=rsi
# and rbx,[rax]
48 23 18, And_r64_rm64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rbx r=rax rm=ds:rax;UInt64
# and al,0A5h
24 A5, And_AL_imm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=al
# and ax,5AA5h
66 25 A55A, And_AX_imm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=ax
# and eax,12345AA5h
25 A55A3412, And_EAX_imm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rax r=eax
# and rax,0FFFFFFFFA2345AA5h
48 25 A55A34A2, And_RAX_imm32, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rax
# sub dh,cl
28 CE, Sub_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=dh r=cl
# sub [rax],bh
28 38, Sub_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=rax r=bh rwm=ds:rax;UInt8
# sub si,cx
66 29 CE, Sub_rm16_r16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=si r=cx
# sub [rax],bx
66 29 18, Sub_rm16_r16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r r=rax r=bx rwm=ds:rax;UInt16
# sub esi,ecx
29 CE, Sub_rm32_r32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rsi r=esi r=ecx
# sub [rax],ebx
29 18, Sub_rm32_r32, Legacy, INTEL386, fw=oszacp op0=rw op1=r r=rax r=ebx rwm=ds:rax;UInt32
# sub rsi,rcx
48 29 CE, Sub_rm64_r64, Legacy, X64, fw=oszacp op0=rw op1=r rw=rsi r=rcx
# sub [rax],rbx
48 29 18, Sub_rm64_r64, Legacy, X64, fw=oszacp op0=rw op1=r r=rax r=rbx rwm=ds:rax;UInt64
# sub cl,dh
2A CE, Sub_r8_rm8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=cl r=dh
# sub bh,[rax]
2A 38, Sub_r8_rm8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=bh r=rax rm=ds:rax;UInt8
# sub cx,si
66 2B CE, Sub_r16_rm16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=cx r=si
# sub bx,[rax]
66 2B 18, Sub_r16_rm16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=bx r=rax rm=ds:rax;UInt16
# sub ecx,esi
2B CE, Sub_r32_rm32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rcx r=ecx r=esi
# sub ebx,[rax]
2B 18, Sub_r32_rm32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rbx r=ebx r=rax rm=ds:rax;UInt32
# sub rcx,rsi
48 2B CE, Sub_r64_rm64, Legacy, X64, fw=oszacp op0=rw op1=r rw=rcx r=rsi
# sub rbx,[rax]
48 2B 18, Sub_r64_rm64, Legacy, X64, fw=oszacp op0=rw op1=r rw=rbx r=rax rm=ds:rax;UInt64
# sub al,0A5h
2C A5, Sub_AL_imm8, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=al
# sub ax,5AA5h
66 2D A55A, Sub_AX_imm16, Legacy, INTEL8086, fw=oszacp op0=rw op1=r rw=ax
# sub eax,12345AA5h
2D A55A3412, Sub_EAX_imm32, Legacy, INTEL386, fw=oszacp op0=rw op1=r w=rax r=eax
# sub rax,0FFFFFFFFA2345AA5h
48 2D A55A34A2, Sub_RAX_imm32, Legacy, X64, fw=oszacp op0=rw op1=r rw=rax
# xor dh,cl
30 CE, Xor_rm8_r8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=dh r=cl
# xor [rax],bh
30 38, Xor_rm8_r8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=bh rwm=ds:rax;UInt8
# xor si,cx
66 31 CE, Xor_rm16_r16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=si r=cx
# xor [rax],bx
66 31 18, Xor_rm16_r16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=bx rwm=ds:rax;UInt16
# xor esi,ecx
31 CE, Xor_rm32_r32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rsi r=esi r=ecx
# xor [rax],ebx
31 18, Xor_rm32_r32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=ebx rwm=ds:rax;UInt32
# xor rsi,rcx
48 31 CE, Xor_rm64_r64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rsi r=rcx
# xor [rax],rbx
48 31 18, Xor_rm64_r64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r r=rax r=rbx rwm=ds:rax;UInt64
# xor cl,dh
32 CE, Xor_r8_rm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=cl r=dh
# xor bh,[rax]
32 38, Xor_r8_rm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=bh r=rax rm=ds:rax;UInt8
# xor cx,si
66 33 CE, Xor_r16_rm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=cx r=si
# xor bx,[rax]
66 33 18, Xor_r16_rm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=bx r=rax rm=ds:rax;UInt16
# xor ecx,esi
33 CE, Xor_r32_rm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rcx r=ecx r=esi
# xor ebx,[rax]
33 18, Xor_r32_rm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rbx r=ebx r=rax rm=ds:rax;UInt32
# xor rcx,rsi
48 33 CE, Xor_r64_rm64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rcx r=rsi
# xor rbx,[rax]
48 33 18, Xor_r64_rm64, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rbx r=rax rm=ds:rax;UInt64
# xor al,0A5h
34 A5, Xor_AL_imm8, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=al
# xor ax,5AA5h
66 35 A55A, Xor_AX_imm16, Legacy, INTEL8086, fc=oc fw=szp fu=a op0=rw op1=r rw=ax
# xor eax,12345AA5h
35 A55A3412, Xor_EAX_imm32, Legacy, INTEL386, fc=oc fw=szp fu=a op0=rw op1=r w=rax r=eax
# xor rax,0FFFFFFFFA2345AA5h
48 35 A55A34A2, Xor_RAX_imm32, Legacy, X64, fc=oc fw=szp fu=a op0=rw op1=r rw=rax
# cmp dh,cl
38 CE, Cmp_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=dh r=cl
# cmp [rax],bh
38 38, Cmp_rm8_r8, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=rax r=bh rm=ds:rax;UInt8
# cmp si,cx
66 39 CE, Cmp_rm16_r16, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=si r=cx
# cmp [rax],bx
66 39 18, Cmp_rm16_r16, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=rax r=bx rm=ds:rax;UInt16
# cmp esi,ecx
39 CE, Cmp_rm32_r32, Legacy, INTEL386, fw=oszacp op0=r op1=r r=esi r=ecx
# cmp [rax],ebx
39 18, Cmp_rm32_r32, Legacy, INTEL386, fw=oszacp op0=r op1=r r=rax r=ebx rm=ds:rax;UInt32
# cmp rsi,rcx
48 39 CE, Cmp_rm64_r64, Legacy, X64, fw=oszacp op0=r op1=r r=rsi r=rcx
# cmp [rax],rbx
48 39 18, Cmp_rm64_r64, Legacy, X64, fw=oszacp op0=r op1=r r=rax r=rbx rm=ds:rax;UInt64
# cmp cl,dh
3A CE, Cmp_r8_rm8, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=cl r=dh
# cmp bh,[rax]
3A 38, Cmp_r8_rm8, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=bh r=rax rm=ds:rax;UInt8
# cmp cx,si
66 3B CE, Cmp_r16_rm16, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=cx r=si
# cmp bx,[rax]
66 3B 18, Cmp_r16_rm16, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=bx r=rax rm=ds:rax;UInt16
# cmp ecx,esi
3B CE, Cmp_r32_rm32, Legacy, INTEL386, fw=oszacp op0=r op1=r r=ecx r=esi
# cmp ebx,[rax]
3B 18, Cmp_r32_rm32, Legacy, INTEL386, fw=oszacp op0=r op1=r r=ebx r=rax rm=ds:rax;UInt32
# cmp rcx,rsi
48 3B CE, Cmp_r64_rm64, Legacy, X64, fw=oszacp op0=r op1=r r=rcx r=rsi
# cmp rbx,[rax]
48 3B 18, Cmp_r64_rm64, Legacy, X64, fw=oszacp op0=r op1=r r=rbx r=rax rm=ds:rax;UInt64
# cmp al,0A5h
3C A5, Cmp_AL_imm8, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=al
# cmp ax,5AA5h
66 3D A55A, Cmp_AX_imm16, Legacy, INTEL8086, fw=oszacp op0=r op1=r r=ax
# cmp eax,12345AA5h
3D A55A3412, Cmp_EAX_imm32, Legacy, INTEL386, fw=oszacp op0=r op1=r r=eax
# cmp rax,0FFFFFFFFA2345AA5h
48 3D A55A34A2, Cmp_RAX_imm32, Legacy, X64, fw=oszacp op0=r op1=r r=rax
# push ax
66 50, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=ax wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push r8w
66 41 50, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=r8w wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push rax
50, Push_r64, Legacy, X64, op0=r rw=xsp r=rax wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push r8
41 50, Push_r64, Legacy, X64, op0=r rw=xsp r=r8 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push cx
66 51, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=cx wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push r9w
66 41 51, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=r9w wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push rcx
51, Push_r64, Legacy, X64, op0=r rw=xsp r=rcx wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push r9
41 51, Push_r64, Legacy, X64, op0=r rw=xsp r=r9 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push dx
66 52, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=dx wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push r10w
66 41 52, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=r10w wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push rdx
52, Push_r64, Legacy, X64, op0=r rw=xsp r=rdx wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push r10
41 52, Push_r64, Legacy, X64, op0=r rw=xsp r=r10 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push bx
66 53, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=bx wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push r11w
66 41 53, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=r11w wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push rbx
53, Push_r64, Legacy, X64, op0=r rw=xsp r=rbx wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push r11
41 53, Push_r64, Legacy, X64, op0=r rw=xsp r=r11 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push sp
66 54, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=sp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push r12w
66 41 54, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=r12w wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push rsp
54, Push_r64, Legacy, X64, op0=r rw=xsp r=rsp wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push r12
41 54, Push_r64, Legacy, X64, op0=r rw=xsp r=r12 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push bp
66 55, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=bp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push r13w
66 41 55, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=r13w wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push rbp
55, Push_r64, Legacy, X64, op0=r rw=xsp r=rbp wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push r13
41 55, Push_r64, Legacy, X64, op0=r rw=xsp r=r13 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt64 stack=-8
# push si
66 56, Push_r16, Legacy, INTEL8086, op0=r rw=xsp r=si wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push r14w
