# SPDX-License-Identifier: MIT
# Copyright (C) 2018-present iced project and contributors

# pushw es
66 06, Pushw_ES, Legacy, INTEL8086, op0=r r=ss rw=xsp r=es wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
43, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=ebx
# inc sp
66 44, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=sp
# inc esp
44, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=esp
# inc bp
66 45, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=bp
# inc ebp
45, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=ebp
# inc si
66 46, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=si
# inc esi
46, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=esi
# inc di
66 47, Inc_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=di
# inc edi
47, Inc_r32, Legacy, INTEL386, fw=oszap op0=rw rw=edi
# dec ax
66 48, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=ax
# dec eax
48, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=eax
# dec cx
66 49, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=cx
# dec ecx
49, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=ecx
# dec dx
66 4A, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=dx
# dec edx
4A, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=edx
# dec bx
66 4B, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=bx
# dec ebx
4B, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=ebx
# dec sp
66 4C, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=sp
# dec esp
4C, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=esp
# dec bp
66 4D, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=bp
# dec ebp
4D, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=ebp
# dec si
66 4E, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=si
# dec esi
4E, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=esi
# dec di
66 4F, Dec_r16, Legacy, INTEL8086, fw=oszap op0=rw rw=di
# dec edi
4F, Dec_r32, Legacy, INTEL386, fw=oszap op0=rw rw=edi
# push ax
66 50, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=ax wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push eax
50, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=eax wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push cx
66 51, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=cx wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push ecx
51, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=ecx wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push dx
66 52, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=dx wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push edx
52, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=edx wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push bx
66 53, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=bx wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push ebx
53, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=ebx wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push sp
66 54, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=sp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push esp
54, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=esp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push bp
66 55, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=bp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push ebp
55, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=ebp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push si
66 56, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=si wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push esi
56, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=esi wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# push di
66 57, Push_r16, Legacy, INTEL8086, op0=r r=ss rw=xsp r=di wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push edi
57, Push_r32, Legacy, INTEL386, op0=r r=ss rw=xsp r=edi wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# pop ax
66 58, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=ax rm=ss:xsp;UInt16 stack=2
# pop eax
58, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=eax rm=ss:xsp;UInt32 stack=4
# pop cx
66 59, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=cx rm=ss:xsp;UInt16 stack=2
# pop ecx
59, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=ecx rm=ss:xsp;UInt32 stack=4
# pop dx
66 5A, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=dx rm=ss:xsp;UInt16 stack=2
# pop edx
5A, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=edx rm=ss:xsp;UInt32 stack=4
# pop bx
66 5B, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=bx rm=ss:xsp;UInt16 stack=2
# pop ebx
5B, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=ebx rm=ss:xsp;UInt32 stack=4
# pop sp
66 5C, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=sp rm=ss:xsp;UInt16 stack=2
# pop esp
5C, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=esp rm=ss:xsp;UInt32 stack=4
# pop bp
66 5D, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=bp rm=ss:xsp;UInt16 stack=2
# pop ebp
5D, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=ebp rm=ss:xsp;UInt32 stack=4
# pop si
66 5E, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=si rm=ss:xsp;UInt16 stack=2
# pop esi
5E, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=esi rm=ss:xsp;UInt32 stack=4
# pop di
66 5F, Pop_r16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=di rm=ss:xsp;UInt16 stack=2
# pop edi
5F, Pop_r32, Legacy, INTEL386, op0=w r=ss rw=xsp w=edi rm=ss:xsp;UInt32 stack=4
# pushaw
66 60, Pushaw, Legacy, INTEL186, r=ax;cx;dx;bx;sp;bp;si;di r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFA;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFF6;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFF4;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFF2;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFF0;UInt16 stack=-16
# pusha
60, Pushad, Legacy, INTEL386, r=eax;ecx;edx;ebx;esp;ebp;esi;edi r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF4;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF0;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFEC;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFE8;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFE4;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFE0;UInt32 stack=-32
# popaw
66 61, Popaw, Legacy, INTEL186, w=ax;cx;dx;bx;bp;si;di r=ss rw=xsp rm=ss:xsp;UInt16 rm=ss:xsp+2;UInt16 rm=ss:xsp+4;UInt16 rm=ss:xsp+8;UInt16 rm=ss:xsp+0xA;UInt16 rm=ss:xsp+0xC;UInt16 rm=ss:xsp+0xE;UInt16 stack=16
# popa
61, Popad, Legacy, INTEL386, w=eax;ecx;edx;ebx;ebp;esi;edi r=ss rw=xsp rm=ss:xsp;UInt32 rm=ss:xsp+4;UInt32 rm=ss:xsp+8;UInt32 rm=ss:xsp+0x10;UInt32 rm=ss:xsp+0x14;UInt32 rm=ss:xsp+0x18;UInt32 rm=ss:xsp+0x1C;UInt32 stack=32
# bound bx,dword ptr [eax]
66 62 18, Bound_r16_m1616, Legacy, INTEL186, op0=r op1=r r=bx r=ds r=eax rm=ds:eax;Bound16_WordWord
# bound ebx,qword ptr [eax]
62 18, Bound_r32_m3232, Legacy, INTEL386, op0=r op1=r r=ebx r=ds r=eax rm=ds:eax;Bound32_DwordDword
# arpl bx,sp
66 63 E3, Arpl_rm16_r16, Legacy, INTEL286, op0=rcw op1=r fw=z rcw=bl r=spl
# arpl sp,bx
66 63 DC, Arpl_rm16_r16, Legacy, INTEL286, op0=rcw op1=r fw=z rcw=spl r=bl
# arpl [eax],bx
66 63 18, Arpl_rm16_r16, Legacy, INTEL286, op0=rcw op1=r fw=z r=ds r=eax r=bl rcwm=ds:eax;UInt16
# arpl bx,sp
63 E3, Arpl_r32m16_r32, Legacy, INTEL386, op0=rcw op1=r fw=z rcw=bl r=spl
# arpl sp,bx
63 DC, Arpl_r32m16_r32, Legacy, INTEL386, op0=rcw op1=r fw=z rcw=spl r=bl
# arpl [eax],bx
63 18, Arpl_r32m16_r32, Legacy, INTEL386, op0=rcw op1=r fw=z r=ds r=eax r=bl rcwm=ds:eax;UInt16
# pushw 0A55Ah
66 68 5AA5, Push_imm16, Legacy, INTEL186, op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push 3412A55Ah
68 5AA51234, Pushd_imm32, Legacy, INTEL386, op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# pushw 5Ah
66 6A 5A, Pushw_imm8, Legacy, INTEL186, op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# push 5Ah
6A 5A, Pushd_imm8, Legacy, INTEL386, op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# jo short 004Dh
66 70 5A, Jo_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=o op0=r
# jo short 8000004Ch
70 5A, Jo_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=o op0=r
# jno short 004Dh
66 71 5A, Jno_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=o op0=r
# jno short 8000004Ch
71 5A, Jno_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=o op0=r
# jb short 004Dh
66 72 5A, Jb_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=c op0=r
# jb short 8000004Ch
72 5A, Jb_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=c op0=r
# jae short 004Dh
66 73 5A, Jae_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=c op0=r
# jae short 8000004Ch
73 5A, Jae_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=c op0=r
# je short 004Dh
66 74 5A, Je_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=z op0=r
# je short 8000004Ch
74 5A, Je_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r
# jne short 004Dh
66 75 5A, Jne_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=z op0=r
# jne short 8000004Ch
75 5A, Jne_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r
# jbe short 004Dh
66 76 5A, Jbe_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=cz op0=r
# jbe short 8000004Ch
76 5A, Jbe_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=cz op0=r
# ja short 004Dh
66 77 5A, Ja_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=cz op0=r
# ja short 8000004Ch
77 5A, Ja_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=cz op0=r
# js short 004Dh
66 78 5A, Js_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=s op0=r
# js short 8000004Ch
78 5A, Js_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=s op0=r
# jns short 004Dh
66 79 5A, Jns_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=s op0=r
# jns short 8000004Ch
79 5A, Jns_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=s op0=r
# jp short 004Dh
66 7A 5A, Jp_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=p op0=r
# jp short 8000004Ch
7A 5A, Jp_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=p op0=r
# jnp short 004Dh
66 7B 5A, Jnp_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=p op0=r
# jnp short 8000004Ch
7B 5A, Jnp_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=p op0=r
# jl short 004Dh
66 7C 5A, Jl_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=so op0=r
# jl short 8000004Ch
7C 5A, Jl_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=so op0=r
# jge short 004Dh
66 7D 5A, Jge_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=so op0=r
# jge short 8000004Ch
7D 5A, Jge_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=so op0=r
# jle short 004Dh
66 7E 5A, Jle_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=soz op0=r
# jle short 8000004Ch
7E 5A, Jle_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=soz op0=r
# jg short 004Dh
66 7F 5A, Jg_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch fr=soz op0=r
# jg short 8000004Ch
7F 5A, Jg_rel8_32, Legacy, INTEL386, flow=ConditionalBranch fr=soz op0=r
# pop si
66 8F C6, Pop_rm16, Legacy, INTEL8086, op0=w r=ss rw=xsp w=si rm=ss:xsp;UInt16 stack=2
# pop word ptr [eax]
66 8F 00, Pop_rm16, Legacy, INTEL8086, op0=w r=ss rw=xsp r=ds r=eax wm=ds:eax;UInt16 rm=ss:xsp;UInt16 stack=2
# pop esi
8F C6, Pop_rm32, Legacy, INTEL386, op0=w r=ss rw=xsp w=esi rm=ss:xsp;UInt32 stack=4
# pop dword ptr [eax]
8F 00, Pop_rm32, Legacy, INTEL386, op0=w r=ss rw=xsp r=ds r=eax wm=ds:eax;UInt32 rm=ss:xsp;UInt32 stack=4
# call far ptr 7856h:3412h
66 9A 1234 5678, Call_ptr1616, Legacy, INTEL8086, flow=Call op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt16 stack=-4
# call far ptr 0BC9Ah:78563412h
9A 12345678 9ABC, Call_ptr1632, Legacy, INTEL386, flow=Call op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt32 stack=-8
# pushf
66 9C, Pushfw, Legacy, INTEL8086, fr=oszacpid r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# pushfd
9C, Pushfd, Legacy, INTEL386, fr=oszacpidA r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# popf
66 9D, Popfw, Legacy, INTEL8086, fw=oszacpid r=ss rw=xsp rm=ss:xsp;UInt16 stack=2
# popfd
9D, Popfd, Legacy, INTEL386, fw=oszacpidA r=ss rw=xsp rm=ss:xsp;UInt32 stack=4
# retw 0A55Ah
66 C2 5AA5, Retnw_imm16, Legacy, INTEL8086, flow=Return op0=r r=ss rw=xsp rm=ss:xsp;UInt16 stack=42332
# ret 0A55Ah
C2 5AA5, Retnd_imm16, Legacy, INTEL386, flow=Return op0=r r=ss rw=xsp rm=ss:xsp;UInt32 stack=42334
# retw
66 C3, Retnw, Legacy, INTEL8086, flow=Return r=ss rw=xsp rm=ss:xsp;UInt16 stack=2
# ret
C3, Retnd, Legacy, INTEL386, flow=Return r=ss rw=xsp rm=ss:xsp;UInt32 stack=4
# les bx,[eax]
66 C4 18, Les_r16_m1616, Legacy, INTEL8086, op0=w op1=r w=es;bx r=ds r=eax rm=ds:eax;SegPtr16
# les ebx,[eax]
C4 18, Les_r32_m1632, Legacy, INTEL386, op0=w op1=r w=es;ebx r=ds r=eax rm=ds:eax;SegPtr32
# lds bx,es:[eax]
26 66 C5 18, Lds_r16_m1616, Legacy, INTEL8086, op0=w op1=r w=ds;bx r=es r=eax rm=es:eax;SegPtr16
# lds ebx,es:[eax]
26 C5 18, Lds_r32_m1632, Legacy, INTEL386, op0=w op1=r w=ds;ebx r=es r=eax rm=es:eax;SegPtr32
# enterw 0A55Ah,0E0h
66 C8 5AA5 E0, Enterw_imm16_imm8, Legacy, INTEL186, op0=r op1=r rw=bp rw=sp r=ss rw=xsp stack=-42332 wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16
# enterw 0A55Ah,0E1h
66 C8 5AA5 E1, Enterw_imm16_imm8, Legacy, INTEL186, op0=r op1=r rw=bp rw=sp r=ss rw=xsp stack=-42334 wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt16
# enterw 0A55Ah,0E2h
66 C8 5AA5 E2, Enterw_imm16_imm8, Legacy, INTEL186, op0=r op1=r rw=bp rw=sp rw=xbp r=ss rw=xsp stack=-42336 wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt16 wm=ss:xsp+0xFFFFFFFFFFFFFFFA;UInt16 rm=ss:xbp+0xFFFFFFFFFFFFFFFE;UInt16
# enter 0A55Ah,0E0h
C8 5AA5 E0, Enterd_imm16_imm8, Legacy, INTEL386, op0=r op1=r rw=ebp rw=esp r=ss rw=xsp stack=-42334 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32
# enter 0A55Ah,0E1h
C8 5AA5 E1, Enterd_imm16_imm8, Legacy, INTEL386, op0=r op1=r rw=ebp rw=esp r=ss rw=xsp stack=-42338 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt32
# enter 0A55Ah,0E2h
C8 5AA5 E2, Enterd_imm16_imm8, Legacy, INTEL386, op0=r op1=r rw=ebp rw=esp rw=xbp r=ss rw=xsp stack=-42342 wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF8;UInt32 wm=ss:xsp+0xFFFFFFFFFFFFFFF4;UInt32 rm=ss:xbp+0xFFFFFFFFFFFFFFFC;UInt32
# leavew
66 C9, Leavew, Legacy, INTEL186, w=xsp r=ss r=xbp w=bp rm=ss:xbp;UInt16 stack=0
# leave
C9, Leaved, Legacy, INTEL386, w=xsp r=ss r=xbp w=ebp rm=ss:xbp;UInt32 stack=0
# retfw 0A55Ah
66 CA 5AA5, Retfw_imm16, Legacy, INTEL8086, flow=Return op0=r r=ss rw=xsp rm=ss:xsp;UInt16 rm=ss:xsp+2;UInt16 stack=42334
# retf 0A55Ah
CA 5AA5, Retfd_imm16, Legacy, INTEL386, flow=Return op0=r r=ss rw=xsp rm=ss:xsp;UInt32 rm=ss:xsp+4;UInt32 stack=42338
# retfw
66 CB, Retfw, Legacy, INTEL8086, flow=Return r=ss rw=xsp rm=ss:xsp;UInt16 rm=ss:xsp+2;UInt16 stack=4
# retf
CB, Retfd, Legacy, INTEL386, flow=Return r=ss rw=xsp rm=ss:xsp;UInt32 rm=ss:xsp+4;UInt32 stack=8
# into
CE, Into, Legacy, INTEL8086, flow=Interrupt fr=o
# iret
66 CF, Iretw, Legacy, INTEL8086, flow=Return fw=acopszid r=ss rw=xsp rm=ss:xsp;UInt16 rm=ss:xsp+2;UInt16 rm=ss:xsp+4;UInt16 stack=6
# iretd
CF, Iretd, Legacy, INTEL386, flow=Return fw=acopszidA r=ss rw=xsp rm=ss:xsp;UInt32 rm=ss:xsp+4;UInt32 rm=ss:xsp+8;UInt32 stack=12
# aam
D4 0A, Aam_imm8, Legacy, INTEL8086, op0=r r=al w=ax fw=szp fu=oac
# aad
D5 0A, Aad_imm8, Legacy, INTEL8086, op0=r rw=ax fw=szp fu=oac
# salc
D6, Salc, Legacy, INTEL8086, fr=c w=al
# loopnew 004Eh
66 67 E0 5A, Loopne_rel8_16_CX, Legacy, INTEL8086, flow=ConditionalBranch fr=z op0=r rw=cx
# loopnew 8000004Dh
67 E0 5A, Loopne_rel8_32_CX, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r rw=cx
# loopne 004Dh
66 E0 5A, Loopne_rel8_16_ECX, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r rw=ecx
# loopne 8000004Ch
E0 5A, Loopne_rel8_32_ECX, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r rw=ecx
# loopew 004Eh
66 67 E1 5A, Loope_rel8_16_CX, Legacy, INTEL8086, flow=ConditionalBranch fr=z op0=r rw=cx
# loopew 8000004Dh
67 E1 5A, Loope_rel8_32_CX, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r rw=cx
# loope 004Dh
66 E1 5A, Loope_rel8_16_ECX, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r rw=ecx
# loope 8000004Ch
E1 5A, Loope_rel8_32_ECX, Legacy, INTEL386, flow=ConditionalBranch fr=z op0=r rw=ecx
# loopw 004Eh
66 67 E2 5A, Loop_rel8_16_CX, Legacy, INTEL8086, flow=ConditionalBranch op0=r rw=cx
# loopw 8000004Dh
67 E2 5A, Loop_rel8_32_CX, Legacy, INTEL386, flow=ConditionalBranch op0=r rw=cx
# loop 004Dh
66 E2 5A, Loop_rel8_16_ECX, Legacy, INTEL386, flow=ConditionalBranch op0=r rw=ecx
# loop 8000004Ch
E2 5A, Loop_rel8_32_ECX, Legacy, INTEL386, flow=ConditionalBranch op0=r rw=ecx
# jcxz 004Eh
66 67 E3 5A, Jcxz_rel8_16, Legacy, INTEL8086, flow=ConditionalBranch op0=r r=cx
# jcxz 8000004Dh
67 E3 5A, Jcxz_rel8_32, Legacy, INTEL386, flow=ConditionalBranch op0=r r=cx
# jecxz 004Dh
66 E3 5A, Jecxz_rel8_16, Legacy, INTEL386, flow=ConditionalBranch op0=r r=ecx
# jecxz 8000004Ch
E3 5A, Jecxz_rel8_32, Legacy, INTEL386, flow=ConditionalBranch op0=r r=ecx
# call 0A54Eh
66 E8 5AA5, Call_rel16, Legacy, INTEL8086, flow=Call op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFE;UInt16 stack=-2
# call 255A3407h
E8 12345AA5, Call_rel32_32, Legacy, INTEL386, flow=Call op0=r r=ss rw=xsp wm=ss:xsp+0xFFFFFFFFFFFFFFFC;UInt32 stack=-4
# jmp near ptr 0A54Eh
66 E9 5AA5, Jmp_rel16, Legacy, INTEL8086, flow=UnconditionalBranch op0=r
# jmp near ptr 255A3407h
E9 12345AA5, Jmp_rel32_32, Legacy, INTEL386, flow=UnconditionalBranch op0=r
# jmp far ptr 7856h:3412h
66 EA 1234 5678, Jmp_ptr1616, Legacy, INTEL8086, flow=UnconditionalBranch op0=r
# jmp far ptr 0BCEAh:78563412h
